Frequencies/Abs in dB/m,f37,f50,f63,f80,f100,f125,f160,f200,f250,f315,f400,f500,f630,f800,f1000,f1250,f1600,f2000,f2500,f3150,f4000,f5000,f6300,f8000,f10000,f12500
h [m],37,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500
-200,0.000212028,0.00028664,0.000361253,0.000458923,0.000573917,0.000717717,0.000919389,0.001150198,0.001439336,0.001816207,0.002310695,0.002894881,0.003658137,0.004663713,0.0058563,0.007363189,0.009502625,0.011990485,0.015164698,0.019399934,0.025127297,0.028596785,0.036496063,0.04867126,0.067339239,0.086007217
0,0.000211201,0.000285538,0.000359875,0.000457152,0.000571686,0.000714961,0.000915846,0.001145801,0.001433825,0.001809252,0.002301837,0.002883825,0.003644357,0.004645997,0.005834318,0.00733563,0.009467192,0.011945866,0.015108924,0.019329724,0.02503773,0.028495735,0.03636811,0.048795932,0.067621391,0.08644685
200,0.000210374,0.000284436,0.000358497,0.000455381,0.000569455,0.000712205,0.000912303,0.001141404,0.001428314,0.001802297,0.002292979,0.002872769,0.003630577,0.004628281,0.005812336,0.007308071,0.009431759,0.011901247,0.01505315,0.019259514,0.024948163,0.028394685,0.036240157,0.048920604,0.067903543,0.086886483
400,0.000209587,0.000283337,0.000357087,0.000453609,0.000567257,0.000709449,0.000908793,0.001137008,0.001422802,0.001795341,0.002284186,0.002861745,0.00361647,0.004610564,0.005790354,0.007280512,0.009396325,0.011856955,0.014997703,0.019189633,0.024858924,0.028294291,0.03617126,0.049048556,0.068172572,0.087296588
600,0.000208773,0.000282241,0.000355709,0.00045187,0.000565092,0.000706726,0.000905315,0.001132612,0.001417356,0.001788451,0.002275427,0.00285082,0.00360269,0.004593176,0.005768373,0.007252953,0.00936122,0.011812992,0.014942585,0.019120079,0.024770341,0.028194554,0.036187664,0.049245407,0.068431759,0.08761811
800,0.000207946,0.000281155,0.000354364,0.000450131,0.000562894,0.000704003,0.000901804,0.001128281,0.001411909,0.001781594,0.002266732,0.002839928,0.003588911,0.004575787,0.005746391,0.007225722,0.009326115,0.011769357,0.014887795,0.019050853,0.024682087,0.028095144,0.036230315,0.049461942,0.06875,0.088038058
1000,0.000207159,0.000280072,0.000352986,0.000448392,0.000560728,0.000701312,0.00089836,0.00112395,0.001406496,0.00177477,0.002258071,0.002829068,0.003575459,0.004558399,0.005724738,0.007198491,0.009291339,0.011725722,0.014833333,0.018981955,0.024594488,0.028006562,0.036292651,0.049681759,0.069189633,0.088697507
1200,0.000206352,0.000278996,0.00035164,0.000446686,0.000558596,0.000698622,0.000894915,0.001119619,0.001401115,0.001767979,0.002249442,0.002818307,0.00356168,0.00454101,0.005703084,0.007171588,0.009256562,0.011682415,0.014779199,0.018913386,0.024507218,0.027958661,0.036377953,0.049895013,0.069671916,0.089448819
1400,0.000205551,0.000277923,0.000350295,0.000444948,0.00055643,0.000695932,0.00089147,0.001115354,0.001395735,0.001761253,0.002240846,0.002807579,0.003548228,0.00452395,0.005681759,0.007144685,0.009222113,0.011639108,0.014725066,0.018845144,0.024431102,0.027935039,0.03648622,0.050095144,0.070190289,0.090285433
1600,0.00020477,0.00027686,0.00034895,0.000443241,0.000554298,0.000693274,0.000888058,0.001111089,0.00139042,0.001754528,0.002232316,0.002796916,0.003534777,0.00450689,0.005660433,0.007117782,0.009187992,0.011596457,0.01467126,0.018777231,0.024382218,0.027932743,0.036607612,0.050337927,0.070731627,0.091125328
1800,0.000203996,0.000275801,0.000347605,0.000441568,0.000552198,0.000690617,0.000884678,0.001106824,0.001385105,0.001747835,0.002223852,0.002786286,0.003521325,0.004489829,0.005639108,0.007091207,0.009153871,0.011553806,0.014617782,0.018709974,0.024352362,0.027947178,0.036735564,0.050620079,0.071338583,0.092057087
2000,0.000203228,0.000274744,0.00034626,0.000439862,0.000550066,0.000687992,0.000881299,0.001102625,0.001379823,0.001741175,0.002215387,0.002775722,0.003508202,0.004472769,0.005617782,0.007064961,0.009120079,0.011511155,0.014564633,0.018643045,0.024339567,0.02798458,0.036866798,0.050935039,0.071994751,0.093054462
