t_source [s],Ne [-],TS [-],Core mdot [kg/s],Core Pt [Pa],Core Tti [K],Core Ttj [K],Core DT_t [K],LPT rho_e [kg/m3],LPT c_e [m/s],HPT rho_i [kg/m3],HPT c_i [m/s],Jet A [m2],Jet rho [kg/m3],Jet Tt [K],Jet V [m/s],Jet M [-],Jet delta [deg],Airframe LG [-],Airframe delta_f [deg],Fan mdot in [kg/s],Fan N [rpm],Fan delta T [K],Fan B [-],Fan V [-],Fan d [m],Fan M_d [-],Fan A [m2],Fan RSS [%],Fan IGV [-],Fan ID [-]
0,3,0.346,21.34488964,1170391.295,640.4257431,1262.485901,801.9540307,,,,,0.52534484,0.871147855,424.4820027,272.5797404,1,0,1,20,125.0200679,6291.287589,33.47276086,25,48,1.105509557,1.68,0.873660192,300,0,0
0.5,3,0.346,21.34488964,1170195.626,640.4257431,1262.189682,801.9540307,,,,,0.52534484,0.871147855,424.4523808,272.545241,1,0,1,20,125.0200679,6291.287589,33.47276086,25,48,1.105509557,1.68,0.873660192,300,0,0
1,3,0.346,21.34488964,1170195.626,640.4257431,1262.189682,801.9540307,,,,,0.52534484,0.871147855,424.4523808,272.545241,1,0,1,20,125.0200679,6291.287589,33.47276086,25,48,1.105509557,1.68,0.873660192,300,0,0
1.5,3,0.346,21.34488964,1169999.958,640.4257431,1262.189682,801.9540307,,,,,0.52534484,0.871262934,424.4523808,272.5107416,1,0,1,20,124.6389091,6291.287589,33.47276086,25,48,1.105509557,1.68,0.873660192,300,0,0
2,3,0.346,21.34488964,1169804.289,640.4257431,1262.189682,801.9540307,,,,,0.52534484,0.871262934,424.4227589,272.4762422,1,0,1,20,124.6389091,6291.287589,33.47276086,25,48,1.105509557,1.68,0.873660192,300,0,0
2.5,3,0.346,21.34488964,1169804.289,640.4257431,1262.189682,801.9540307,,,,,0.52534484,0.871262934,424.4227589,272.4762422,1,0,1,20,124.6389091,6291.287589,33.47276086,25,48,1.105509557,1.68,0.873660192,300,0,0
3,3,0.346,21.34488964,1169510.787,640.4257431,1261.893462,801.9540307,,,,,0.52534484,0.871262934,424.4227589,272.4417428,1,0,1,20,124.6389091,6291.287589,33.47276086,25,48,1.105509557,1.68,0.873660192,300,0,0
3.5,3,0.346,21.34488964,1169510.787,640.4257431,1261.893462,801.9540307,,,,,0.52534484,0.871262934,424.4227589,272.4417428,1,0,1,20,124.6389091,6291.287589,33.47276086,25,48,1.105509557,1.68,0.873660192,300,0,0
4,3,0.346,21.34488964,1169315.118,640.4257431,1261.893462,801.9540307,,,,,0.52534484,0.871262934,424.393137,272.4072434,1,0,1,20,124.6389091,6291.287589,33.47276086,25,48,1.105509557,1.68,0.873660192,300,0,0
4.5,3,0.345,21.34488964,1169119.45,640.4257431,1261.893462,801.9540307,,,,,0.525248834,0.871262934,424.3635151,272.3727441,1,0,1,20,124.6389091,6291.287589,33.47276086,25,48,1.105509557,1.68,0.873660192,300,0,0
5,3,0.345,21.34488964,1169119.45,640.4257431,1261.893462,801.9540307,,,,,0.525248834,0.871262934,424.3635151,272.3727441,1,0,1,20,124.6389091,6291.287589,33.47276086,25,48,1.105509557,1.68,0.873660192,300,0,0
