t_source [s],f50,f63,f80,f100,f125,f160,f200,f250,f315,f400,f500,f630,f800,f1000,f1250,f1600,f2000,f2500,f3150,f4000,f5000,f6300,f8000,f10000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.51,0.085071429,0.090628571,0.096171429,0.101391429,0.106797143,0.113065714,0.119165714,0.125774286,0.133368571,0.141948571,0.150574286,0.160431429,0.171488571,0.182282857,0.193782857,0.207374286,0.220317143,0.233642857,0.247997143,0.26298,0.277022857,0.291371429,0.30598,0.318957143
29.71,1.7865,1.9032,2.0196,2.12922,2.24274,2.37438,2.50248,2.64126,2.80074,2.98092,3.16206,3.36906,3.60126,3.82794,4.06944,4.354859998,4.626659999,4.906500001,5.207939999,5.52258,5.817480001,6.118800001,6.42558,6.698099999
29.91,3.487928572,3.715771428,3.943028572,4.157048572,4.378682857,4.635694285,4.885794285,5.156745715,5.468111428,5.819891428,6.173545715,6.577688572,7.031031428,7.473597143,7.945097144,8.50234571,9.033002855,9.579357145,10.16788285,10.78218,11.35793715,11.94622857,12.54518,13.07724285
30.11,4.325653085,4.627133582,4.935047288,5.228635346,5.538171975,5.900058484,6.25678718,6.644274733,7.087710857,7.586126277,8.083192994,8.645101897,9.266041524,9.865600545,10.48627127,11.20472922,11.87537336,12.55425747,13.27051748,14.00463803,14.68243058,15.36351569,16.04439571,16.63728339
30.31,4.456710641,4.801142691,5.165003396,5.517842468,5.898744398,6.348736248,6.799517118,7.290748274,7.850042286,8.474667561,9.0913361,9.778793658,10.52351962,11.23188725,11.93559566,12.72475638,13.43813014,14.13992041,14.85353628,15.56034354,16.19386279,16.8088689,17.39966064,17.89078567
30.51,4.588451883,4.97586145,5.39534029,5.807224406,6.258688522,6.795871826,7.339069217,7.931930609,8.604372,9.351414841,10.08364713,10.89189351,11.75516133,12.56768851,13.34976997,14.20471959,14.95685931,15.67842637,16.38709954,17.06536806,17.65422458,18.2038371,18.70412342,19.09221537
30.71,4.733183146,5.16406352,5.632912133,6.099927843,6.606694982,7.213705863,7.818242385,8.47258005,9.206669143,10.00407604,10.77514875,11.61374709,12.49591181,13.32426641,14.09609279,14.92346758,15.63906403,16.32094977,16.98100744,17.60745386,18.14424827,18.6414901,19.04334545,19.30426588
30.91,4.87791441,5.35226559,5.870483975,6.392631279,6.954701441,7.6315399,8.297415553,9.013229491,9.808966286,10.65673724,11.46665036,12.33560067,13.23666229,14.0808443,14.8424156,15.64221557,16.32126875,16.96347317,17.57491535,18.14953965,18.63427195,19.07914311,19.38256748,19.5163164
31.05,4.981053416,5.484089441,6.035623602,6.593484472,7.191345342,7.911922981,8.616110559,9.368669565,10.20068571,11.07624845,11.9075292,12.79187702,13.70194286,14.5524882,15.30766336,16.08625838,16.74063478,17.35549069,17.93504223,18.47615901,18.91533292,19.31233541,19.55469565,19.62356522
31.25,5.133093168,5.672621118,6.268552795,6.870031056,7.511509317,8.281354038,9.028378882,9.81726087,10.68342857,11.57950311,12.42634162,13.31764596,14.22971429,15.07722361,15.82527329,16.56868323,17.19013044,17.76701864,18.30651553,18.80688199,19.15753417,19.4573292,19.6326087,19.67086957
31.45,5.28513292,5.861152795,6.501481988,7.14657764,7.831673292,8.650785094,9.440647205,10.26585217,11.16617143,12.08275776,12.94515403,13.8434149,14.75748572,15.60195901,16.34288324,17.05110807,17.63962609,18.17854659,18.67798882,19.13760497,19.39973541,19.60232298,19.71052174,19.71817391
31.65,5.416214085,6.020856338,6.696659155,7.375661972,8.094664789,8.950467606,9.770388734,10.62143099,11.54339155,12.47135212,13.34099155,14.24023098,15.15267043,15.9907493,16.72790986,17.40570704,17.96634366,18.47490141,18.94269859,19.35528451,19.5412,19.666,19.73,19.73
31.85,5.540309054,6.170950503,6.879252314,7.588925553,8.338598793,9.226900604,10.07262133,10.94600563,11.88543742,12.82172636,13.69583742,14.59406278,15.50365956,16.33422454,17.06874206,17.71769738,18.25213522,18.7328652,19.17182052,19.5352829,19.64908572,19.70257143,19.73,19.73
32.05,5.65048672,6.303446881,7.039518511,7.77559014,8.551661771,9.4677334,10.33421349,11.22704507,12.18028511,13.12343944,14.00024225,14.89700221,15.80376217,16.6273678,17.36060785,17.98449336,18.49522455,18.95230725,19.36610704,19.67557747,19.73,19.73,19.73,19.73
32.25,5.718912475,6.3831499,7.132803823,7.882457746,8.67211167,9.601765594,10.47388431,11.37747888,12.33353823,13.27916902,14.15332395,15.04726459,15.95120523,16.76951509,17.50557445,18.11570623,18.61020725,19.05618411,19.45588733,19.69676056,19.73,19.73,19.73,19.73
32.45,5.787338229,6.462852918,7.226089135,7.989325352,8.792561569,9.735797787,10.61355513,11.52791268,12.48679135,13.4348986,14.30640564,15.19752697,16.09864829,16.91166238,17.65054104,18.24691911,18.72518995,19.16006097,19.54566761,19.71794367,19.73,19.73,19.73,19.73
