t_source [s],X [m],Y [m],Z [m],V [m/s],PsiB [deg],ThetaB [deg],PhiB [deg],PsiWB [deg],ThetaWB [deg],PhiWB [deg],M_0 [-],TS [-],c_0 [m/s],T_0 [K],p_0 [Pa],rho_0 [kg/m3],mu_0 [kg/ms],I_0 [kg/m2s],alpha [deg],gamma [deg],Airframe LG [-],Airframe delta_f [deg]
0,-5815.8888,0,304.8,82.45356026,0,11.1,0,0,-14.1,0,0.239,0.346,344.993976,296.2191226,97834.26355,1.150789769,1.83E-05,3.97E+02,14.10000003,-3.000000025,1,20
0.5,-5774.64936,0,302.63592,82.45356026,0,11.1,0,0,-14.1,0,0.239,0.346,344.993976,296.2191226,97834.26355,1.150789769,1.83E-05,3.97E+02,14.10000003,-3.000000025,1,20
1,-5733.4404,0,300.47184,82.45356026,0,11.1,0,0,-14.1,0,0.239,0.346,344.993976,296.2191226,97834.26355,1.150789769,1.83E-05,3.97E+02,14.10000003,-3.000000025,1,20
1.5,-5692.20096,0,298.30776,82.45356026,0,11.1,0,0,-14.1,0,0.239,0.346,344.993976,296.2191226,97834.26355,1.150789769,1.83E-05,3.97E+02,14.10000003,-3.000000025,1,20
2,-5650.96152,0,296.14368,82.45356026,0,11.1,0,0,-14.1,0,0.239,0.346,344.993976,296.2191226,97834.26355,1.150789769,1.83E-05,3.97E+02,14.10000003,-3.000000025,1,20
2.5,-5609.75256,0,294.01008,82.45356026,0,11.1,0,0,-14.1,0,0.239,0.346,344.993976,296.2191226,97834.26355,1.150789769,1.83E-05,3.97E+02,14.10000003,-3.000000025,1,20
3,-5568.51312,0,291.846,82.45356026,0,11.1,0,0,-14.1,0,0.239,0.346,344.993976,296.2191226,97834.26355,1.150789769,1.83E-05,3.97E+02,14.10000003,-3.000000025,1,20
3.5,-5527.27368,0,289.68192,82.45356026,0,11.1,0,0,-14.1,0,0.239,0.346,344.993976,296.2191226,97834.26355,1.150789769,1.83E-05,3.97E+02,14.10000003,-3.000000025,1,20
4,-5486.06472,0,287.51784,82.45356026,0,11.1,0,0,-14.1,0,0.239,0.346,344.993976,296.2191226,97834.26355,1.150789769,1.83E-05,3.97E+02,14.10000003,-3.000000025,1,20
4.5,-5444.82528,0,285.35376,82.45356026,0,11.1,0,0,-14.1,0,0.239,0.345,344.993976,296.2191226,97834.26355,1.150789769,1.83E-05,3.97E+02,14.10000003,-3.000000025,1,20
5,-5403.61632,0,283.18968,82.45356026,0,11.1,0,0,-14.1,0,0.239,0.345,344.993976,296.2191226,97834.26355,1.150789769,1.83E-05,3.97E+02,14.10000003,-3.000000025,1,20
5.5,-5362.37688,0,281.0256,82.45356026,0,11.1,0,0,-14.1,0,0.239,0.345,344.993976,296.2191226,97834.26355,1.150789769,1.83E-05,3.97E+02,14.10000003,-3.000000025,1,20
6,-5321.13744,0,278.86152,82.45356026,0,11.1,0,0,-14.1,0,0.239,0.345,344.993976,296.2191226,97834.26355,1.150789769,1.83E-05,3.97E+02,14.10000003,-3.000000025,1,20
6.5,-5279.92848,0,276.69744,82.45356026,0,11.1,0,0,-14.1,0,0.239,0.345,344.993976,296.2191226,97834.26355,1.150789769,1.83E-05,3.97E+02,14.10000003,-3.000000025,1,20
7,-5238.68904,0,274.56384,82.45356026,0,11.1,0,0,-14.1,0,0.239,0.345,344.993976,296.2191226,97834.26355,1.150789769,1.83E-05,3.97E+02,14.10000003,-3.000000025,1,20
7.5,-5197.4496,0,272.39976,82.45356026,0,11.1,0,0,-14.1,0,0.239,0.345,344.993976,296.2191226,97834.26355,1.150789769,1.83E-05,3.97E+02,14.10000003,-3.000000025,1,20
8,-5156.24064,0,270.23568,82.45356026,0,11.1,0,0,-14.1,0,0.239,0.345,344.993976,296.2191226,97834.26355,1.150789769,1.83E-05,3.97E+02,14.10000003,-3.000000025,1,20
8.5,-5115.0012,0,268.0716,82.45356026,0,11.1,0,0,-14.1,0,0.239,0.345,344.993976,296.2191226,97834.26355,1.150789769,1.83E-05,3.97E+02,14.10000003,-3.000000025,1,20
9,-5073.76176,0,265.90752,82.45356026,0,11.1,0,0,-14.1,0,0.239,0.345,344.993976,296.2191226,97834.26355,1.150789769,1.83E-05,3.97E+02,14.10000003,-3.000000025,1,20
9.5,-5032.5528,0,263.74344,82.45356026,0,11.1,0,0,-14.1,0,0.239,0.345,344.993976,296.2191226,97834.26355,1.150789769,1.83E-05,3.97E+02,14.10000003,-3.000000025,1,20
10,-4991.31336,0,261.57936,82.45356026,0,11.1,0,0,-14.1,0,0.239,0.345,344.993976,296.2191226,97834.26355,1.150789769,1.83E-05,3.97E+02,14.10000003,-3.000000025,1,20
10.5,-4950.07392,0,259.41528,82.45356026,0,11.1,0,0,-14.1,0,0.239,0.345,344.993976,296.2191226,97834.26355,1.150789769,1.83E-05,3.97E+02,14.10000003,-3.000000025,1,20
11,-4908.86496,0,257.2512,82.45356026,0,11.1,0,0,-14.1,0,0.239,0.345,344.993976,296.2191226,97834.26355,1.150789769,1.83E-05,3.97E+02,14.10000003,-3.000000025,1,20
11.5,-4867.62552,0,255.1176,82.45356026,0,11.1,0,0,-14.1,0,0.239,0.345,344.993976,296.2191226,97834.26355,1.150789769,1.83E-05,3.97E+02,14.10000003,-3.000000025,1,20
