t_source [s],Ne [-],TS [-],Core mdot [kg/s],Core Pt [Pa],Core Tti [K],Core Ttj [K],Core DT_t [K],LPT rho_e [kg/m3],LPT c_e [m/s],HPT rho_i [kg/m3],HPT c_i [m/s],Jet A [m2],Jet rho [kg/m3],Jet Tt [K],Jet V [m/s],Jet M [-],Jet delta [deg],Airframe LG [-],Airframe delta_f [deg],Fan mdot in [kg/s],Fan N [rpm],Fan delta T [K],Fan B [-],Fan V [-],Fan d [m],Fan M_d [-],Fan A [m2],Fan RSS [%],Fan IGV [-],Fan ID [-]
0,3,0.9,34.27289403,2205379.337,780.1623435,1687.965927,807.3904864,,,,,0.582247598,0.811043171,517.4838297,410.5127568,1,0,1,10,182.3948268,8726.699976,70.38161814,25,48,1.105509557,1.68,0.873660192,300,0,0
0.32,3,0.9,34.27289403,2206097.786,780.3532089,1688.076752,807.3904864,,,,,0.58224403,0.811019188,517.5441677,410.5606387,1,0,1,10,182.3948268,8727.205906,70.38161814,25,48,1.105509557,1.68,0.873660192,300,0,0
0.63,3,0.9,34.27289403,2206792.853,780.4605707,1688.183723,807.3904864,,,,,0.58223809,0.810996468,517.5947882,410.6159338,1,0,1,10,182.3948268,8727.699131,70.38161814,25,48,1.105509557,1.68,0.873660192,300,0,0
0.95,3,0.9,34.27289403,2207509.011,780.4605707,1688.293586,807.3904864,,,,,0.58222841,0.810973747,517.6358474,410.6857467,1,0,1,10,182.3948268,8728.212705,70.38161814,25,48,1.105509557,1.68,0.873660192,300,0,0
1.27,3,0.9,34.27289403,2208180.766,780.5763201,1688.446632,807.3904864,,,,,0.582218796,0.810955594,517.6925887,410.7550698,1,0,1,10,182.3948268,8728.714928,70.38161814,25,48,1.105509557,1.68,0.873660192,300,0,0
1.59,3,0.9,34.34380347,2208852.287,780.6900193,1688.63116,807.3904864,,,,,0.58220871,0.810936487,517.7522342,410.8260545,1,0,1,10,182.4147701,8729.215781,70.38161814,25,48,1.105509557,1.68,0.873660192,300,0,0
1.91,3,0.9,34.5959259,2209544.226,780.7437001,1688.875706,807.3904864,,,,,0.58219738,0.81091278,517.8118795,410.9015177,1,0,1,10,182.4856795,8729.718507,70.38161814,25,48,1.105509557,1.68,0.873660192,300,0,0
2.23,3,0.9,34.66683534,2210249.291,780.7587979,1689.043086,807.3904864,,,,,0.58218412,0.810893674,517.871525,410.9839474,1,0,1,10,182.6358697,8730.224143,70.38161814,25,48,1.105509557,1.68,0.873660192,300,0,0
2.55,3,0.9,34.66683534,2210958.619,780.7886206,1689.188658,807.3904864,,,,,0.582169845,0.810875582,517.931097,411.0713551,1,0,1,10,182.7887682,8730.729264,70.38161814,25,48,1.105509557,1.68,0.873660192,300,0,0
2.87,3,0.9,34.66683534,2211663.226,780.979486,1689.379524,807.3904864,,,,,0.582154176,0.810853246,517.9902725,411.1709237,1,0,1,10,182.7887682,8731.225445,70.38161814,25,48,1.105509557,1.68,0.873660192,300,0,0
