t_source [s],X [m],Y [m],Z [m],V [m/s],M_0 [-],F_n [N],TS [-],c_0 [m/s],T_0 [K],p_0 [Pa],rho_0 [kg/m3],mu_0 [kg/ms],I_0 [kg/m2s],alpha [deg],gamma [deg],Airframe LG [-],Airframe delta_f [deg]
0,0,0,0,0,0,73917.99929,0.9,346.16136,298.2271955,101457.3923,1.1853717,1.84E-05,409.795638,-0.850000021,0,1,10
0.32,0.332251665,0,0,1.22563453,0.003540645,73719.00984,0.9,346.16136,298.2271955,101457.3923,1.1853717,1.84E-05,409.795638,-0.850000021,0,1,10
0.63,0.891600837,0,0,2.420380452,0.006992058,73526.49647,0.9,346.16136,298.2271955,101457.3923,1.1853717,1.84E-05,409.795638,-0.850000021,0,1,10
0.95,1.808419573,0,0,3.664261064,0.010585413,73328.14128,0.9,346.16136,298.2271955,101457.3923,1.1853717,1.84E-05,409.795638,-0.850000021,0,1,10
1.27,3.2509206,0,0,4.880875176,0.0141,73131.19992,0.9,346.16136,298.2271955,101457.3923,1.1853717,1.84E-05,409.795638,-0.850000021,0,1,10
1.59,4.9632489,0,0,6.094192378,0.017605063,72934.53206,0.9,346.16136,298.2271955,101457.3923,1.1853717,1.84E-05,409.795638,-0.850000021,0,1,10
1.91,7.1163561,0,0,7.311988042,0.021123062,72737.89403,0.9,346.16136,298.2271955,101457.3923,1.1853717,1.84E-05,409.795638,-0.850000021,0,1,10
2.23,9.7058607,0,0,8.536750204,0.024661188,72541.21766,0.9,346.16136,298.2271955,101457.3923,1.1853717,1.84E-05,409.795638,-0.850000021,0,1,10
2.55,12.5640032,0,0,9.760258846,0.028195691,72344.77267,0.9,346.16136,298.2271955,101457.3923,1.1853717,1.84E-05,409.795638,-0.850000021,0,1,10
2.87,15.95066372,0,0,10.96227797,0.031668116,72149.6582,0.9,346.16136,298.2271955,101457.3923,1.1853717,1.84E-05,409.795638,-0.850000021,0,1,10
3.2,19.80126273,0,0,12.19864768,0.035239773,71948.9644,0.9,346.16136,298.2271955,101457.3923,1.1853717,1.84E-05,409.795638,-0.850000021,0,1,10
3.52,23.79706604,0,0,13.39562643,0.038697636,71754.88493,0.9,346.16136,298.2271955,101457.3923,1.1853717,1.84E-05,409.795638,-0.850000021,0,1,10
