t_s [s],x [m],y [m],z [m],alpha [deg],gamma [deg],F_n [N],tau [-],v [m/s],M_0 [-],c_0 [m/s],T_0 [K],p_0 [Pa],rho_0 [kg/m3],mu_0 [kg/ms],I_0 [kg/m2s],theta_flaps [deg],I_lg [-],jet_V [m/s],jet_A [m2],jet_rho [kg/m3],jet_Tt [K],jet_M [-],core_mdot [kg/s],core_Pt_i [Pa],core_Tt_i [K],core_Tt_j [K],turb_DTt_des [K],turb_rho_i [kg/m3],turb_c_i [m/s],turb_rho_e [kg/m3],turb_c_e [m/s],fan_DTt [K],fan_mdot [kg/s],fan_N [rpm]
0,0,0,0,-0.850000021,0,73917.99929,0.9,0,0,346.16136,298.2271955,101457.3923,1.1853717,1.84E-05,409.795638,10,1,410.5127568,0.582247598,0.811043171,517.4838297,1,34.27289403,2205379.337,780.1623435,1687.965927,807.3904864,0,0,0,0,70.38161814,182.3948268,8726.699976
0.32,0.332251665,0,0,-0.850000021,0,73719.00984,0.9,1.22563453,0.003540645,346.16136,298.2271955,101457.3923,1.1853717,1.84E-05,409.795638,10,1,410.5606387,0.58224403,0.811019188,517.5441677,1,34.27289403,2206097.786,780.3532089,1688.076752,807.3904864,0,0,0,0,70.38161814,182.3948268,8727.205906
0.63,0.891600837,0,0,-0.850000021,0,73526.49647,0.9,2.420380452,0.006992058,346.16136,298.2271955,101457.3923,1.1853717,1.84E-05,409.795638,10,1,410.6159338,0.58223809,0.810996468,517.5947882,1,34.27289403,2206792.853,780.4605707,1688.183723,807.3904864,0,0,0,0,70.38161814,182.3948268,8727.699131
0.95,1.808419573,0,0,-0.850000021,0,73328.14128,0.9,3.664261064,0.010585413,346.16136,298.2271955,101457.3923,1.1853717,1.84E-05,409.795638,10,1,410.6857467,0.58222841,0.810973747,517.6358474,1,34.27289403,2207509.011,780.4605707,1688.293586,807.3904864,0,0,0,0,70.38161814,182.3948268,8728.212705
1.27,3.2509206,0,0,-0.850000021,0,73131.19992,0.9,4.880875176,0.0141,346.16136,298.2271955,101457.3923,1.1853717,1.84E-05,409.795638,10,1,410.7550698,0.582218796,0.810955594,517.6925887,1,34.27289403,2208180.766,780.5763201,1688.446632,807.3904864,0,0,0,0,70.38161814,182.3948268,8728.714928
1.59,4.9632489,0,0,-0.850000021,0,72934.53206,0.9,6.094192378,0.017605063,346.16136,298.2271955,101457.3923,1.1853717,1.84E-05,409.795638,10,1,410.8260545,0.58220871,0.810936487,517.7522342,1,34.34380347,2208852.287,780.6900193,1688.63116,807.3904864,0,0,0,0,70.38161814,182.4147701,8729.215781
1.91,7.1163561,0,0,-0.850000021,0,72737.89403,0.9,7.311988042,0.021123062,346.16136,298.2271955,101457.3923,1.1853717,1.84E-05,409.795638,10,1,410.9015177,0.58219738,0.81091278,517.8118795,1,34.5959259,2209544.226,780.7437001,1688.875706,807.3904864,0,0,0,0,70.38161814,182.4856795,8729.718507
2.23,9.7058607,0,0,-0.850000021,0,72541.21766,0.9,8.536750204,0.024661188,346.16136,298.2271955,101457.3923,1.1853717,1.84E-05,409.795638,10,1,410.9839474,0.58218412,0.810893674,517.871525,1,34.66683534,2210249.291,780.7587979,1689.043086,807.3904864,0,0,0,0,70.38161814,182.6358697,8730.224143
2.55,12.5640032,0,0,-0.850000021,0,72344.77267,0.9,9.760258846,0.028195691,346.16136,298.2271955,101457.3923,1.1853717,1.84E-05,409.795638,10,1,411.0713551,0.582169845,0.810875582,517.931097,1,34.66683534,2210958.619,780.7886206,1689.188658,807.3904864,0,0,0,0,70.38161814,182.7887682,8730.729264
2.87,15.95066372,0,0,-0.850000021,0,72149.6582,0.9,10.96227797,0.031668116,346.16136,298.2271955,101457.3923,1.1853717,1.84E-05,409.795638,10,1,411.1709237,0.582154176,0.810853246,517.9902725,1,34.66683534,2211663.226,780.979486,1689.379524,807.3904864,0,0,0,0,70.38161814,182.7887682,8731.225445
