alpha,angle 0,angle 1,angle 2,angle 3,angle 4,angle 5,angle 6,angle 7,angle 8,angle 9,angle 10,angle 11,angle 12,angle 13,angle 14,angle 15,angle 16,angle 17,angle 18,angle 19,angle 20,angle 21,angle 22,angle 23,angle 24,angle 25,angle 26,angle 27,angle 28,angle 29,angle 30,angle 31,angle 32,angle 33,angle 34,angle 35,angle 36,angle 37,angle 38,angle 39,angle 40,angle 41,angle 42,angle 43,angle 44,angle 45,angle 46,angle 47,angle 48,angle 49,angle 50,angle 51,angle 52,angle 53,angle 54,angle 55,angle 56,angle 57,angle 58,angle 59,angle 60,angle 61,angle 62,angle 63,angle 64,angle 65,angle 66,angle 67,angle 68,angle 69,angle 70,angle 71,angle 72,angle 73,angle 74,angle 75,angle 76,angle 77,angle 78,angle 79,angle 80,angle 81,angle 82,angle 83,angle 84,angle 85,angle 86,angle 87,angle 88,angle 89,angle 90,angle 91,angle 92,angle 93,angle 94,angle 95,angle 96,angle 97,angle 98,angle 99,angle 100,angle 101,angle 102,angle 103,angle 104,angle 105,angle 106,angle 107,angle 108,angle 109,angle 110,angle 111,angle 112,angle 113,angle 114,angle 115,angle 116,angle 117,angle 118,angle 119,angle 120,angle 121,angle 122,angle 123,angle 124,angle 125,angle 126,angle 127,angle 128,angle 129,angle 130,angle 131,angle 132,angle 133,angle 134,angle 135,angle 136,angle 137,angle 138,angle 139,angle 140,angle 141,angle 142,angle 143,angle 144,angle 145,angle 146,angle 147,angle 148,angle 149,angle 150,angle 151,angle 152,angle 153,angle 154,angle 155,angle 156,angle 157,angle 158,angle 159,angle 160,angle 161,angle 162,angle 163,angle 164,angle 165,angle 166,angle 167,angle 168,angle 169,angle 170,angle 171,angle 172,angle 173,angle 174,angle 175,angle 176,angle 177,angle 178,angle 179,angle 180,angle 181,angle 182,angle 183,angle 184,angle 185,angle 186,angle 187,angle 188,angle 189,angle 190,angle 191,angle 192,angle 193,angle 194,angle 195
theta_slats,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
theta_flaps,26,24,22,20,18,16,14,12,10,8,6,4,2,0,26,24,22,20,18,16,14,12,10,8,6,4,2,0,26,24,22,20,18,16,14,12,10,8,6,4,2,0,26,24,22,20,18,16,14,12,10,8,6,4,2,0,26,24,22,20,18,16,14,12,10,8,6,4,2,0,26,24,22,20,18,16,14,12,10,8,6,4,2,0,26,24,22,20,18,16,14,12,10,8,6,4,2,0,26,24,22,20,18,16,14,12,10,8,6,4,2,0,26,24,22,20,18,16,14,12,10,8,6,4,2,0,26,24,22,20,18,16,14,12,10,8,6,4,2,0,26,24,22,20,18,16,14,12,10,8,6,4,2,0,26,24,22,20,18,16,14,12,10,8,6,4,2,0,26,24,22,20,18,16,14,12,10,8,6,4,2,0,26,24,22,20,18,16,14,12,10,8,6,4,2,0
-2,0.045660806,0.041252825,0.037240027,0.033624408,0.030400853,0.027558211,0.025080733,0.022949618,0.021144635,0.019645854,0.018636351,0.018662221,0.019614527,0.021570725,0.045410003,0.040993871,0.036971596,0.033345123,0.030109325,0.027253102,0.024760671,0.022613282,0.020790783,0.019273303,0.018232246,0.01822414,0.019142092,0.021064803,0.045191794,0.040766896,0.036734474,0.033096431,0.029847623,0.026976971,0.024468782,0.022304315,0.020463496,0.018926559,0.01785281,0.017809113,0.018693768,0.020580412,0.044993038,0.040558989,0.036515923,0.032865813,0.029603462,0.026717875,0.024193386,0.022011346,0.020151756,0.018594963,0.017487972,0.01740761,0.018258321,0.020108382,0.04480272,0.040359309,0.036305341,0.032642822,0.029366703,0.026465911,0.023924903,0.021725085,0.019846597,0.018269878,0.017129655,0.01701207,0.017828699,0.019642218,0.04461212,0.040159202,0.036094259,0.032419327,0.02912935,0.026213349,0.023655866,0.021438404,0.019541202,0.017944834,0.016771902,0.016617036,0.017399931,0.019177113,0.044414764,0.039952388,0.035876588,0.032189351,0.028885723,0.0259548,0.023381169,0.021146479,0.019231044,0.017615622,0.016410982,0.016219258,0.016969229,0.01871153,0.044206609,0.03973503,0.03564862,0.031949456,0.028632595,0.025687217,0.023098047,0.020846813,0.018913955,0.017280361,0.016045458,0.015817757,0.016536049,0.018245656,0.043986135,0.039505682,0.035409106,0.031698544,0.028369101,0.025410029,0.022806166,0.020539332,0.018590123,0.016939547,0.01567622,0.015413866,0.016102135,0.017780375,0.043754244,0.039265417,0.035159268,0.031438022,0.028096833,0.025125047,0.022507557,0.02022635,0.018262134,0.016596042,0.015306495,0.015011235,0.015671531,0.017324504,0.04351396,0.039017383,0.034902456,0.031171438,0.027819527,0.024836201,0.022206449,0.01991233,0.017934692,0.016254803,0.014941571,0.014615591,0.015250459,0.016885005,0.043271398,0.038767813,0.034645026,0.030905291,0.027543897,0.024550416,0.021909901,0.019604582,0.01762138,0.015928508,0.014593244,0.014237996,0.014848643,0.016483203,0.043034099,0.03852447,0.034394887,0.030647688,0.027278253,0.024286721,0.021636012,0.019320138,0.017320173,0.015617627,0.014264549,0.013883974,0.014474032,0.016208465,0.042816271,0.038301451,0.034166157,0.030412691,0.027036612,0.024027595,0.021370914,0.019048997,0.017042982,0.015334476,0.013968108,0.013566422,0.014214868,0.016105747
0,0.042713772,0.0381713,0.034027077,0.030283279,0.026934767,0.023970466,0.021374493,0.019127827,0.017209986,0.01560069,0.01430889,0.013897515,0.014459382,0.015968579,0.042568242,0.038018795,0.033866545,0.030113503,0.02675464,0.023778819,0.021170153,0.018909652,0.016976884,0.015351623,0.01403782,0.013589971,0.014117923,0.015592747,0.042480879,0.037923645,0.033762333,0.029998998,0.026628556,0.023639919,0.021017228,0.018741532,0.016792459,0.015149859,0.013812919,0.013325877,0.01381912,0.015256951,0.042434302,0.037868577,0.033697423,0.029922931,0.026540003,0.023537588,0.020899847,0.018607922,0.016641518,0.014980581,0.01361992,0.013091571,0.013548553,0.014948113,0.042413214,0.037838472,0.033656938,0.029870637,0.026474535,0.02345761,0.020804115,0.01849527,0.016510851,0.014830945,0.013446503,0.012875323,0.013295031,0.014655637,0.042404465,0.037820394,0.03362804,0.029829545,0.026419867,0.023388014,0.020718372,0.018392212,0.01638945,0.014690281,0.013282474,0.012667512,0.01304945,0.014370831,0.042397285,0.037803681,0.03360038,0.029789477,0.026366045,0.023319137,0.020633228,0.018289688,0.016268578,0.014550214,0.013119895,0.012460752,0.01280492,0.014087652,0.042383412,0.037780302,0.033566019,0.029742762,0.026305631,0.023243777,0.020541767,0.018181091,0.016141924,0.014404746,0.012953181,0.012249989,0.012556859,0.013802278,0.042357081,0.037744592,0.033519538,0.029684182,0.026233635,0.023157202,0.02043954,0.018062248,0.016005647,0.014250355,0.012779156,0.012032562,0.012303055,0.013512118,0.042315168,0.03769357,0.033458104,0.029611065,0.026147649,0.023057275,0.020324618,0.017931524,0.015858383,0.014085981,0.012597052,0.011808229,0.012043701,0.013219996,0.042256189,0.037625992,0.033380704,0.029522686,0.026047246,0.022943803,0.020197267,0.017789504,0.015701067,0.013912902,0.012407872,0.011579092,0.011781357,0.012928382,0.042183297,0.037544993,0.033290558,0.029422325,0.025935717,0.022820262,0.020060958,0.017639811,0.015541398,0.013738137,0.012217864,0.011351141,0.011521754,0.012640612,0.042100375,0.037454712,0.033191965,0.029314491,0.025817877,0.022699204,0.019927539,0.017493565,0.015378092,0.013562358,0.012029515,0.011128826,0.01127051,0.012359737,0.042018402,0.037366006,0.033095613,0.029209806,0.025704158,0.022568382,0.019787692,0.017344392,0.015219411,0.013394094,0.011851703,0.010921322,0.011038266,0.012111102
2,0.041221547,0.036549728,0.032278454,0.028409985,0.024939322,0.021855364,0.019142143,0.016780495,0.014749726,0.013029247,0.011600261,0.010739902,0.010903378,0.011990265,0.041143758,0.036466392,0.032188684,0.028312884,0.024834009,0.021740886,0.019017557,0.016644869,0.014602134,0.012868793,0.011426124,0.010533254,0.010663552,0.01171732,0.041156882,0.036472814,0.032187393,0.028302791,0.024814082,0.021710037,0.018974756,0.016589102,0.014532431,0.012784275,0.01132595,0.010397842,0.010492203,0.011510026,0.041239168,0.036547465,0.032253188,0.028358616,0.024858688,0.021742311,0.018993558,0.016593391,0.014521213,0.012756625,0.01128107,0.010315764,0.010371567,0.01135132,0.041370809,0.036670708,0.032366758,0.028461161,0.024948997,0.021819132,0.019055719,0.016639819,0.014550895,0.012768685,0.011274722,0.010270982,0.01028619,0.011226361,0.041534306,0.036825185,0.032510826,0.02859351,0.025068278,0.021924074,0.019145171,0.016712657,0.014606116,0.012805434,0.011292269,0.010249539,0.010222681,0.01112214,0.041714292,0.036995757,0.032670605,0.028741023,0.025202175,0.022043096,0.019248128,0.016798436,0.014673792,0.012854154,0.011321359,0.010239719,0.010169875,0.011028471,0.041898137,0.037169972,0.032833671,0.028891581,0.025338835,0.022164599,0.019353302,0.016886225,0.014743267,0.012904553,0.011352074,0.010232176,0.010118953,0.010936995,0.042075756,0.03733781,0.032990324,0.029035615,0.02546896,0.02227955,0.019451938,0.016967575,0.014806461,0.012948886,0.011376994,0.010220017,0.010063535,0.010841521,0.042239577,0.037492008,0.033133425,0.029166271,0.025585884,0.022381545,0.01953795,0.017036663,0.014857847,0.012981935,0.011391252,0.010198859,0.009999728,0.010739171,0.042383192,0.037626315,0.033257102,0.029278041,0.025684504,0.02246597,0.019607149,0.017089776,0.014894169,0.013000903,0.011392467,0.010166817,0.009926148,0.010628825,0.042507018,0.037741162,0.033361655,0.029371092,0.025764996,0.02253281,0.019659508,0.017126913,0.014917564,0.01300745,0.011381955,0.01012501,0.009844101,0.010511531,0.042610752,0.037836342,0.033447206,0.029445939,0.025828075,0.022588232,0.01970072,0.017153298,0.014926602,0.013001538,0.011360916,0.010075873,0.009756787,0.010390991,0.042702915,0.037920296,0.033521875,0.029510271,0.02588123,0.022624441,0.019725123,0.017165389,0.01492601,0.012988054,0.011334473,0.010024808,0.009670368,0.010274502
4,0.042139817,0.037139075,0.032804963,0.028289739,0.024549661,0.021463733,0.018600716,0.016165116,0.014012963,0.012136008,0.010560738,0.009334836,0.009048153,0.009722136,0.041239284,0.036450022,0.031882838,0.027962123,0.024306669,0.021157854,0.018350682,0.015876104,0.013752054,0.011914319,0.010363141,0.009150647,0.008861956,0.009511127,0.041264196,0.036399744,0.031946118,0.027882189,0.02431554,0.021268826,0.018422052,0.015926806,0.013762192,0.011907486,0.010343661,0.00910841,0.008783199,0.009398476,0.041274975,0.036538288,0.032000796,0.0280536,0.024629893,0.02140173,0.018543398,0.016035673,0.013857724,0.01198889,0.010410229,0.009150237,0.008784737,0.009363086,0.041503176,0.036767185,0.03227515,0.028473626,0.024848584,0.021608237,0.018736688,0.016214759,0.014021719,0.012136979,0.010541708,0.009255675,0.008846762,0.00938578,0.041851849,0.037223027,0.032790378,0.028758535,0.025121226,0.021867462,0.018981364,0.016443847,0.014234323,0.012332274,0.01071903,0.00940629,0.008951482,0.009449042,0.042316313,0.037564925,0.033123114,0.029079399,0.025428944,0.022160748,0.019259102,0.016704995,0.014477949,0.012557597,0.010925386,0.00958588,0.009083311,0.009538538,0.042775658,0.037928601,0.033475749,0.029419543,0.025755287,0.022472013,0.019554125,0.016982745,0.014737499,0.012798197,0.011146421,0.009780624,0.009229036,0.009641457,0.043155202,0.038298193,0.033833944,0.029764932,0.026086445,0.022787727,0.019853229,0.017264191,0.015000431,0.013041891,0.011370331,0.009979205,0.009377926,0.009747147,0.043529029,0.038661978,0.03418619,0.030104172,0.026411388,0.023097064,0.020145856,0.017539155,0.015256874,0.01327916,0.011587932,0.010172885,0.009521809,0.009848411,0.043885092,0.039008282,0.034521244,0.030426652,0.026719908,0.023390486,0.020423063,0.017799228,0.015499009,0.01350272,0.011792492,0.010355456,0.009655128,0.009939981,0.044221565,0.039334959,0.034836711,0.030729565,0.027009055,0.023664731,0.020681381,0.018040776,0.015723779,0.013709252,0.011980509,0.010523434,0.00977444,0.010018733,0.044533245,0.039637168,0.035128135,0.031008945,0.027275205,0.023919503,0.02092042,0.018263328,0.015928665,0.013897068,0.012151005,0.010676259,0.009880256,0.010084924,0.04482702,0.039921443,0.035401635,0.031270376,0.027523509,0.024150805,0.021137361,0.01846526,0.016115071,0.014067601,0.012305507,0.010814713,0.009975023,0.010142312
6,0.05647622,0.0508976,0.045610717,0.040627424,0.035954706,0.03159568,0.027550348,0.023816843,0.020392557,0.01746651,0.015038107,0.01322017,0.01227742,0.012314225,0.053387925,0.047842728,0.042595962,0.037659405,0.033040055,0.028740819,0.024761566,0.021100101,0.018034036,0.015419059,0.013347062,0.01164778,0.010723485,0.010906367,0.050578849,0.045067577,0.039861441,0.034972338,0.030407121,0.026168604,0.0222564,0.01906515,0.016218909,0.013934324,0.01216504,0.01063875,0.00982013,0.009988062,0.04804731,0.042570398,0.037486775,0.032658677,0.028156144,0.024387129,0.020669633,0.017832615,0.015462422,0.013430085,0.011686165,0.010212605,0.009366883,0.009501528,0.04604979,0.040611326,0.035492541,0.030799068,0.02677123,0.023347153,0.020401298,0.017637894,0.01528487,0.013254568,0.011513667,0.010046631,0.009164803,0.009269642,0.044407871,0.039432102,0.035140828,0.030913334,0.026989827,0.023518704,0.020239506,0.017677562,0.015383361,0.013336078,0.011624558,0.010178936,0.009293292,0.009395175,0.045052282,0.039944507,0.035391453,0.030963309,0.027079185,0.023534553,0.020566646,0.018064002,0.015734664,0.013713059,0.011980305,0.010520721,0.009590788,0.00964851,0.045376946,0.040318253,0.035556242,0.031394326,0.027446098,0.024074436,0.021182778,0.018513613,0.016166539,0.014126497,0.012374712,0.010895677,0.009920919,0.009933831,0.045665422,0.04089985,0.036041308,0.031792903,0.027979445,0.024707739,0.021675651,0.018983464,0.016617875,0.014558604,0.012787046,0.011287863,0.010268434,0.010234372,0.046190468,0.041100439,0.036618054,0.032292424,0.028561105,0.025225425,0.022169087,0.019458803,0.017074273,0.014995343,0.013203651,0.01168401,0.01062069,0.010541214,0.046549993,0.041679474,0.03700477,0.032894257,0.029164269,0.025727503,0.022654322,0.019926168,0.017522939,0.015424643,0.013613076,0.012073273,0.01096772,0.010843124,0.047173437,0.042274811,0.037625446,0.03348557,0.029667486,0.026214782,0.023124576,0.020378473,0.017956134,0.01583855,0.014007401,0.012447914,0.011300989,0.01112984,0.047765419,0.042745826,0.038194015,0.033992535,0.030147691,0.026680735,0.023573494,0.020809585,0.018369228,0.016232831,0.014382555,0.012803812,0.011618057,0.011397405,0.048253977,0.043325862,0.038713341,0.034468107,0.030608435,0.027124142,0.024000376,0.021219046,0.018760634,0.016605717,0.014736689,0.013139096,0.01191843,0.011656241
8,0.078770477,0.072862998,0.067206051,0.061811908,0.056688457,0.051840098,0.047268607,0.042974248,0.038956878,0.035217105,0.031757328,0.028582575,0.026023023,0.02457581,0.07458025,0.068706012,0.063088873,0.057741112,0.052670509,0.047881366,0.043375169,0.039151863,0.03521103,0.031552781,0.028179004,0.025094175,0.022603664,0.021220994,0.070670147,0.064829582,0.059252824,0.053952071,0.048935137,0.044206014,0.039766065,0.035614937,0.031751767,0.02817629,0.024889853,0.021896354,0.019494593,0.018527461,0.067039822,0.061233414,0.05569763,0.050444571,0.045481994,0.040813797,0.036441027,0.032363098,0.02857873,0.02508722,0.02188942,0.019095843,0.017133072,0.01645042,0.063688631,0.057916822,0.052422493,0.047217796,0.042310312,0.037703809,0.033399183,0.029395441,0.025690974,0.022284647,0.019381015,0.017003171,0.015249089,0.014712627,0.060615424,0.054878643,0.049426268,0.044270525,0.039418849,0.034874904,0.030639266,0.02671072,0.023087262,0.020087281,0.017506497,0.015371501,0.01385344,0.013344411,0.057818802,0.052117495,0.046707601,0.041601366,0.036806248,0.0323256,0.028159878,0.024307495,0.021200306,0.018544349,0.01616018,0.014439511,0.013117432,0.012696624,0.055447578,0.049787762,0.044427497,0.039378959,0.034649316,0.030241756,0.026458724,0.023289457,0.020210567,0.01788228,0.015871303,0.014195489,0.012861019,0.01241037,0.053410814,0.047785467,0.042466581,0.037466281,0.032811418,0.029283635,0.025966387,0.022835092,0.020212632,0.017860363,0.015990105,0.014339118,0.01299399,0.012505172,0.05185355,0.046268465,0.040997858,0.037586101,0.033354447,0.029549131,0.026010268,0.023026259,0.02038536,0.018242491,0.016312422,0.014666095,0.013328517,0.01283736,0.0523167,0.047094462,0.042183681,0.037855118,0.033554545,0.029689073,0.026406117,0.023451771,0.020961862,0.018795066,0.016881519,0.015239479,0.013882406,0.013346026,0.052620891,0.047298596,0.042753459,0.038106544,0.034044735,0.030308545,0.027029869,0.024193583,0.021623516,0.019412461,0.017478643,0.015816222,0.014429219,0.0138409,0.053268587,0.047969809,0.04303212,0.038672086,0.034536369,0.030993888,0.027574003,0.024738937,0.022255321,0.020014792,0.018060411,0.016377262,0.014962698,0.014312879,0.053635026,0.048338229,0.043655816,0.039140195,0.035256056,0.031457113,0.028265445,0.025423671,0.02285868,0.020597347,0.018621829,0.016917397,0.015480216,0.014789701
10,0.109412738,0.103180177,0.097155759,0.0913522,0.085778391,0.080440237,0.075341331,0.070484303,0.065871681,0.061507134,0.05739648,0.053548464,0.050051096,0.04757924,0.104038007,0.097838621,0.091853819,0.086096473,0.080575276,0.075295997,0.070261942,0.065475461,0.060938741,0.056654955,0.052629389,0.04887022,0.045455955,0.043051357,0.09894151,0.092775696,0.086831187,0.081120697,0.075652937,0.070433378,0.065465234,0.060750399,0.056290737,0.052088946,0.048149788,0.044480849,0.041149847,0.038811179,0.094124678,0.087992979,0.082089368,0.076426401,0.071012815,0.065853887,0.060952535,0.056310423,0.051928913,0.047810319,0.043958864,0.040381478,0.037134957,0.034860777,0.08958845,0.083491339,0.077629107,0.072014316,0.066655648,0.061558165,0.056724544,0.052156122,0.047853878,0.043819637,0.040057071,0.036572539,0.033412097,0.031201185,0.085333101,0.079270992,0.073450634,0.06788472,0.062581635,0.057546362,0.052781367,0.04828757,0.044065618,0.040116848,0.036444366,0.033053925,0.02998152,0.027829711,0.081358429,0.075331776,0.069553822,0.064037263,0.0587905,0.053818203,0.049122679,0.044704425,0.040563756,0.036701518,0.03312026,0.029825122,0.026843054,0.024810097,0.077664033,0.071673109,0.065938087,0.060471519,0.055281658,0.050373099,0.045747783,0.041406011,0.03734761,0.033572931,0.030084017,0.026885346,0.024181197,0.022555661,0.074249087,0.068294449,0.06260272,0.05718666,0.052054335,0.047210195,0.042655934,0.038391455,0.034416236,0.030730156,0.027334664,0.024579786,0.022172189,0.020710183,0.071112801,0.065194729,0.059546833,0.054181784,0.049107624,0.044328559,0.039846069,0.035659769,0.031768659,0.028183162,0.025369031,0.022814645,0.02066812,0.019443259,0.068260527,0.062378763,0.056774537,0.051460374,0.046444274,0.041730325,0.037319697,0.033297775,0.029869336,0.026774229,0.024154116,0.021837408,0.020026181,0.018970517,0.065947939,0.060109009,0.054556028,0.049301382,0.044352853,0.039714285,0.035386482,0.031982639,0.028770295,0.025975171,0.02359294,0.021563488,0.019921619,0.018847191,0.063871034,0.058067946,0.052724896,0.047493855,0.042613239,0.038737186,0.035057105,0.031671008,0.028646832,0.025993358,0.023703658,0.021776057,0.020188166,0.019084699,0.062378351,0.056617224,0.051224506,0.046783831,0.042684199,0.038708817,0.035281518,0.031773307,0.028862845,0.026339246,0.02408899,0.022227037,0.02064794,0.019545256
12,0.148936626,0.142383157,0.135994069,0.129782808,0.123759287,0.117930908,0.112303377,0.106881685,0.101671267,0.096679022,0.091914303,0.087389798,0.083120117,0.079547593,0.142298238,0.13577788,0.129428451,0.123263238,0.117292128,0.111522418,0.105959493,0.100608033,0.095473077,0.090561101,0.085880876,0.081444527,0.077267307,0.073766751,0.135933187,0.129446473,0.123137259,0.117018867,0.111101068,0.105390958,0.099893708,0.094613604,0.089555361,0.084724925,0.080130589,0.075783817,0.071699513,0.068270354,0.129845038,0.123392402,0.117124064,0.11105321,0.105189551,0.099539973,0.094109335,0.088901726,0.083921343,0.079173731,0.07466656,0.070410735,0.066420735,0.063062347,0.124036474,0.117618476,0.111391542,0.105368944,0.099560182,0.093971961,0.088608913,0.083474814,0.078573404,0.073909756,0.069491023,0.065327454,0.061433078,0.058145344,0.118509496,0.112126616,0.105941648,0.099967847,0.094214705,0.088688704,0.083394175,0.078334543,0.073513181,0.068934637,0.064605512,0.060535418,0.05673793,0.053516688,0.113265524,0.10691807,0.100775643,0.094851305,0.089154481,0.083691437,0.078466281,0.073482036,0.068741717,0.064249337,0.060010923,0.056035493,0.052336095,0.049187279,0.10830535,0.101993856,0.09589439,0.090020108,0.084380236,0.078980851,0.073825856,0.06891791,0.064259545,0.05985435,0.055707741,0.051828083,0.048227914,0.045155587,0.103629494,0.097354315,0.091298309,0.085474585,0.079892282,0.074557298,0.069473225,0.064642398,0.060066901,0.055749833,0.051696047,0.047913219,0.044413375,0.041416629,0.099238195,0.092999656,0.086987523,0.081214882,0.075690709,0.070420778,0.065408334,0.060655408,0.056163653,0.051935621,0.047975639,0.044290679,0.040892201,0.037976994,0.095144045,0.088941602,0.082972693,0.07725046,0.071783772,0.066578225,0.06163688,0.056961414,0.052553089,0.048413963,0.04454779,0.040960889,0.037664255,0.034823468,0.091322186,0.085156985,0.079232748,0.073562456,0.068154925,0.063015588,0.058147175,0.053550999,0.049229454,0.045180902,0.041410221,0.037923095,0.034745885,0.03227657,0.087782089,0.081654605,0.075775497,0.070157746,0.064810088,0.059739893,0.054944901,0.050428654,0.046191651,0.04223484,0.038560785,0.035344867,0.032535232,0.030324253,0.084516038,0.078427361,0.072594623,0.067030795,0.061744387,0.056740409,0.052021076,0.047586856,0.04343777,0.039574296,0.036213203,0.03340944,0.030999058,0.029093442
