alpha,angle 0,angle 1,angle 2,angle 3,angle 4,angle 5,angle 6,angle 7,angle 8,angle 9,angle 10,angle 11,angle 12,angle 13,angle 14,angle 15,angle 16,angle 17,angle 18,angle 19,angle 20,angle 21,angle 22,angle 23,angle 24,angle 25,angle 26,angle 27,angle 28,angle 29,angle 30,angle 31,angle 32,angle 33,angle 34,angle 35,angle 36,angle 37,angle 38,angle 39,angle 40,angle 41,angle 42,angle 43,angle 44,angle 45,angle 46,angle 47,angle 48,angle 49,angle 50,angle 51,angle 52,angle 53,angle 54,angle 55,angle 56,angle 57,angle 58,angle 59,angle 60,angle 61,angle 62,angle 63,angle 64,angle 65,angle 66,angle 67,angle 68,angle 69,angle 70,angle 71,angle 72,angle 73,angle 74,angle 75,angle 76,angle 77,angle 78,angle 79,angle 80,angle 81,angle 82,angle 83,angle 84,angle 85,angle 86,angle 87,angle 88,angle 89,angle 90,angle 91,angle 92,angle 93,angle 94,angle 95,angle 96,angle 97,angle 98,angle 99,angle 100,angle 101,angle 102,angle 103,angle 104,angle 105,angle 106,angle 107,angle 108,angle 109,angle 110,angle 111,angle 112,angle 113,angle 114,angle 115,angle 116,angle 117,angle 118,angle 119,angle 120,angle 121,angle 122,angle 123,angle 124,angle 125,angle 126,angle 127,angle 128,angle 129,angle 130,angle 131,angle 132,angle 133,angle 134,angle 135,angle 136,angle 137,angle 138,angle 139,angle 140,angle 141,angle 142,angle 143,angle 144,angle 145,angle 146,angle 147,angle 148,angle 149,angle 150,angle 151,angle 152,angle 153,angle 154,angle 155,angle 156,angle 157,angle 158,angle 159,angle 160,angle 161,angle 162,angle 163,angle 164,angle 165,angle 166,angle 167,angle 168,angle 169,angle 170,angle 171,angle 172,angle 173,angle 174,angle 175,angle 176,angle 177,angle 178,angle 179,angle 180,angle 181,angle 182,angle 183,angle 184,angle 185,angle 186,angle 187,angle 188,angle 189,angle 190,angle 191,angle 192,angle 193,angle 194,angle 195
theta_slats,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
theta_flaps,26,24,22,20,18,16,14,12,10,8,6,4,2,0,26,24,22,20,18,16,14,12,10,8,6,4,2,0,26,24,22,20,18,16,14,12,10,8,6,4,2,0,26,24,22,20,18,16,14,12,10,8,6,4,2,0,26,24,22,20,18,16,14,12,10,8,6,4,2,0,26,24,22,20,18,16,14,12,10,8,6,4,2,0,26,24,22,20,18,16,14,12,10,8,6,4,2,0,26,24,22,20,18,16,14,12,10,8,6,4,2,0,26,24,22,20,18,16,14,12,10,8,6,4,2,0,26,24,22,20,18,16,14,12,10,8,6,4,2,0,26,24,22,20,18,16,14,12,10,8,6,4,2,0,26,24,22,20,18,16,14,12,10,8,6,4,2,0,26,24,22,20,18,16,14,12,10,8,6,4,2,0,26,24,22,20,18,16,14,12,10,8,6,4,2,0
-2,-0.017198074,-0.023927946,-0.03157804,-0.040115874,-0.049497291,-0.059666978,-0.070559717,-0.082101484,-0.09421073,-0.106799599,-0.119754102,-0.132936213,-0.146262466,-0.159699857,-0.01894578,-0.025675686,-0.033325919,-0.041864188,-0.051246331,-0.06141704,-0.072311297,-0.083855137,-0.095967044,-0.108559228,-0.121518895,-0.13470668,-0.148041408,-0.16148544,-0.020562836,-0.027293631,-0.03494498,-0.043484717,-0.052868742,-0.063041905,-0.07393913,-0.085486527,-0.097602712,-0.11019991,-0.12316653,-0.136361832,-0.149704096,-0.163156091,-0.022061762,-0.028794158,-0.036447685,-0.044990001,-0.054377159,-0.06455412,-0.07545576,-0.087008375,-0.099130503,-0.111734444,-0.124709843,-0.137914543,-0.151266192,-0.16472797,-0.023457064,-0.030192044,-0.037848642,-0.046394734,-0.055786325,-0.065968446,-0.076876073,-0.088435482,-0.100565263,-0.113177716,-0.126163727,-0.139379722,-0.15274262,-0.166216025,-0.024765437,-0.031503794,-0.039164482,-0.047715471,-0.057112816,-0.067301503,-0.078216638,-0.089784444,-0.101923599,-0.114546349,-0.127544786,-0.140773966,-0.154149983,-0.167649614,-0.026004897,-0.03274746,-0.040413286,-0.04897032,-0.05837463,-0.068571338,-0.079495495,-0.091073346,-0.10322354,-0.11585835,-0.128871005,-0.14211523,-0.155506205,-0.169020403,-0.02719472,-0.033942345,-0.04161425,-0.050178414,-0.059591035,-0.069797125,-0.080731783,-0.092321249,-0.104484207,-0.117132794,-0.130161397,-0.143422482,-0.156830217,-0.170374382,-0.028354961,-0.035108481,-0.042787505,-0.051359955,-0.060782069,-0.070998841,-0.081945463,-0.093548125,-0.105725392,-0.11838945,-0.131435679,-0.144715372,-0.158141604,-0.171703127,-0.029506234,-0.036266527,-0.043953493,-0.052535283,-0.061968073,-0.072196885,-0.083156887,-0.094774187,-0.106967346,-0.119648486,-0.132713935,-0.146013914,-0.1594603,-0.173048549,-0.030662886,-0.037431037,-0.045127611,-0.053720563,-0.063166016,-0.07340893,-0.084384308,-0.09601812,-0.108228768,-0.120928189,-0.134013678,-0.147335544,-0.16080903,-0.174401462,-0.031857093,-0.038633307,-0.046339522,-0.05494363,-0.064401853,-0.074659119,-0.08565027,-0.097301351,-0.109575437,-0.122287087,-0.135386497,-0.148723187,-0.162198393,-0.175701201,-0.03310642,-0.039891121,-0.047607429,-0.05622339,-0.065695017,-0.076034184,-0.087035878,-0.098698349,-0.11093985,-0.123672159,-0.136794207,-0.150154743,-0.163654195,-0.177171025,-0.034434545,-0.041228692,-0.048956127,-0.057584789,-0.067070941,-0.07735952,-0.088385368,-0.100074515,-0.112345066,-0.125108751,-0.138264973,-0.151660519,-0.165187104,-0.178750445
0,0.059043728,0.052465321,0.044950262,0.036530758,0.027251452,0.017168048,0.006346464,-0.005138473,-0.017204387,-0.029762503,-0.042716901,-0.055938817,-0.069332026,-0.082858439,0.057198128,0.050622927,0.0431114,0.034695871,0.025420714,0.015341656,0.00452438,-0.006956347,-0.01901826,-0.03157271,-0.044524239,-0.057744226,-0.071138329,-0.084663875,0.055509465,0.048936619,0.04142778,0.033015095,0.023742897,0.013666813,0.002852402,-0.008625623,-0.020685168,-0.033237647,-0.046188054,-0.059407979,-0.072801866,-0.086327233,0.053967344,0.04739605,0.039888804,0.031477882,0.02220742,0.012132866,0.001319851,-0.010157155,-0.022216021,-0.034768309,-0.047719414,-0.060941222,-0.074336803,-0.087863865,0.052558614,0.045987942,0.038481394,0.030070988,0.020800909,0.010726521,-8.67E-05,-0.011564302,-0.023624274,-0.036178197,-0.049131856,-0.062357541,-0.075756777,-0.089287463,0.051267872,0.044697019,0.037190066,0.028779058,0.019508008,0.009432274,-0.001382732,-0.012862636,-0.024925508,-0.037482937,-0.050441028,-0.063672607,-0.077077484,-0.090625508,0.050077925,0.043505906,0.035997523,0.02758463,0.018311319,0.008232751,-0.002585657,-0.014069579,-0.026137114,-0.038699941,-0.051664333,-0.064903825,-0.078316335,-0.091871225,0.048969779,0.042395772,0.034884859,0.026468924,0.017191907,0.007109078,-0.003714305,-0.015203939,-0.027277957,-0.039848027,-0.052820581,-0.066069985,-0.079492098,-0.093065896,0.04792338,0.041346419,0.033831974,0.025411814,0.016129859,0.006041269,-0.004788665,-0.016285716,-0.02836797,-0.040947107,-0.053929634,-0.067190907,-0.080624551,-0.094208453,0.046917781,0.040337091,0.032818102,0.024392541,0.015104294,0.005008537,-0.005829522,-0.017335589,-0.029427792,-0.042017783,-0.055012057,-0.068287103,-0.081734149,-0.095332649,0.045943858,0.039357662,0.031831922,0.023398464,0.014101211,0.003995368,-0.006853657,-0.018371578,-0.030476338,-0.043079489,-0.056087338,-0.069377855,-0.082842916,-0.096439387,0.044955592,0.038364058,0.030832009,0.022391025,0.013085196,0.002969592,-0.0078903,-0.019420182,-0.031581579,-0.044191128,-0.057205926,-0.07050511,-0.083966567,-0.097510866,0.043940229,0.037342969,0.029803879,0.021354719,0.012039462,0.001847914,-0.009017707,-0.020553882,-0.03267849,-0.045303057,-0.058333835,-0.07165095,-0.085130222,-0.09869816,0.042873389,0.036269649,0.028723055,0.020265122,0.010939832,0.000802325,-0.010082181,-0.021639308,-0.033786986,-0.046436631,-0.059494452,-0.07284105,-0.086358618,-0.099922913
2,0.136261468,0.129835609,0.122455231,0.114152609,0.104972572,0.09497145,0.084215934,0.072781696,0.060752179,0.048217106,0.035271258,0.022021028,0.008568548,-0.005034658,0.134207901,0.12778836,0.120415233,0.112120697,0.102949552,0.092957961,0.082212429,0.07078848,0.05876939,0.046244757,0.033309192,0.020068577,0.006623688,-0.006971721,0.132335898,0.125921889,0.11855508,0.110267672,0.101104239,0.091120876,0.080383887,0.068968709,0.056958491,0.044442613,0.031515595,0.018282804,0.004845952,-0.008741322,0.13063752,0.124228138,0.116866712,0.108585259,0.099428309,0.089451793,0.078721886,0.067313886,0.055310808,0.042801944,0.029881632,0.016654761,0.003224052,-0.010356969,0.129101657,0.122696112,0.115339004,0.107062409,0.097910567,0.087939436,0.077215028,0.065812552,0.053814836,0.041311097,0.028395584,0.015172652,0.0017461,-0.011830643,0.127714563,0.121311927,0.113958149,0.105685112,0.096537094,0.086569839,0.075849311,0.06445059,0.052456417,0.039955905,0.027043195,0.013822174,0.000397732,-0.013186852,0.126460122,0.120059513,0.112707938,0.10443727,0.095291623,0.085326724,0.074608428,0.063211698,0.051219204,0.038719962,0.025808061,0.012586891,-0.000837519,-0.014421192,0.12532035,0.118920746,0.111570292,0.103300692,0.094156086,0.08419196,0.07347423,0.062077711,0.05008503,0.037585098,0.024671976,0.011448594,-0.001977869,-0.015569174,0.12427539,0.117875999,0.11052552,0.102255794,0.093110725,0.083145902,0.072427063,0.061028987,0.049034218,0.036531649,0.023615312,0.010387675,-0.003042914,-0.016636791,0.123304601,0.11690429,0.109552757,0.101281639,0.092134806,0.082167694,0.071446115,0.060044726,0.04804604,0.035538928,0.022617382,0.009383478,-0.004053273,-0.017651259,0.122404599,0.116001369,0.108646045,0.10037037,0.091218284,0.081245326,0.070517138,0.059108683,0.047102463,0.034587463,0.021657779,0.008415185,-0.005030268,-0.01862087,0.121514941,0.115109209,0.107750955,0.099471549,0.090315105,0.08033707,0.069603116,0.058188081,0.046132279,0.033616861,0.020686408,0.007442247,-0.00599398,-0.019563223,0.120628484,0.114219817,0.10685775,0.098573866,0.08941222,0.079364377,0.068629637,0.057213679,0.045198879,0.032674261,0.019733828,0.006478582,-0.006968473,-0.020552988,0.119719765,0.113307709,0.105941661,0.097653204,0.088486128,0.078495789,0.067747701,0.056316655,0.044285004,0.03174175,0.018780981,0.005503413,-0.007977014,-0.0215751
4,0.215174843,0.20908558,0.201956685,0.193470426,0.184361871,0.174623691,0.163779488,0.152220901,0.140223142,0.127540752,0.114477318,0.10108787,0.087478983,0.073785682,0.211762314,0.205638506,0.198483992,0.190479584,0.181393256,0.171390082,0.16062061,0.149296197,0.137412697,0.124926752,0.112000539,0.098750095,0.085264998,0.071608779,0.209642584,0.203424885,0.196209095,0.188257025,0.179293278,0.169356891,0.158691926,0.147333287,0.13536511,0.122877888,0.109967068,0.096731909,0.083262726,0.069622342,0.207922017,0.201739086,0.194539363,0.186417123,0.17732515,0.167442127,0.156789853,0.145444384,0.133489682,0.121016077,0.108118864,0.094897141,0.081442055,0.067815681,0.206221137,0.200010332,0.192817785,0.184621206,0.175584383,0.165711971,0.155070769,0.143736819,0.131793849,0.119332026,0.10644651,0.093236257,0.079793319,0.066179,0.204664197,0.198396683,0.191183244,0.183046088,0.174017761,0.16415436,0.153522637,0.142198439,0.13026537,0.117813437,0.104937626,0.09173679,0.07830395,0.064692639,0.203216572,0.196957989,0.189762424,0.181631835,0.172610542,0.162754655,0.152130749,0.14081454,0.128889451,0.116445394,0.103577241,0.090383714,0.076958854,0.06335625,0.201902159,0.195677593,0.188486829,0.180361426,0.171345811,0.161495852,0.150878044,0.139567946,0.127648947,0.115210774,0.102348191,0.089159831,0.075740781,0.06214222,0.200746079,0.194524718,0.187337531,0.179216126,0.17020466,0.160359072,0.1497456,0.138439818,0.126524916,0.114090582,0.101231483,0.088046143,0.074630719,0.061037222,0.199698005,0.19347891,0.186294121,0.178175384,0.169166628,0.159323794,0.148712967,0.137409626,0.12549693,0.113064412,0.100206692,0.087022236,0.073608252,0.060017155,0.19876207,0.192542487,0.185356953,0.177237072,0.168226965,0.15838232,0.147769554,0.136464,0.12454889,0.112113852,0.099253527,0.086066411,0.072653124,0.059066478,0.197861688,0.191642579,0.184457429,0.176337759,0.167327625,0.157482762,0.146869398,0.135562805,0.123605319,0.111175947,0.098321157,0.085139304,0.071741228,0.05815632,0.196996759,0.190777408,0.183591855,0.175471508,0.166460436,0.156552191,0.145943097,0.134640989,0.122728872,0.110296271,0.097437658,0.084251392,0.070849802,0.057259583,0.196139912,0.189920398,0.182734697,0.174613952,0.165602215,0.155754955,0.145138178,0.133827012,0.12190446,0.109459892,0.096587827,0.083386653,0.069957376,0.056356125
6,0.311636739,0.305078597,0.297453137,0.28879757,0.279163302,0.26861515,0.257229479,0.245092543,0.232299095,0.219072485,0.205441642,0.191425594,0.177201805,0.162816867,0.304357,0.297831823,0.290245248,0.281634246,0.272050227,0.261557541,0.25023221,0.238160273,0.225617394,0.212529533,0.198983386,0.18511127,0.171031194,0.156941323,0.297419155,0.290928695,0.283382921,0.274818817,0.265287508,0.254853115,0.243591274,0.231851688,0.219394423,0.206469011,0.19320644,0.179613853,0.165831733,0.151893714,0.290860165,0.284406032,0.277226544,0.268767476,0.25932624,0.249264334,0.238191538,0.22667083,0.214828516,0.202101313,0.189026191,0.175602753,0.161925082,0.148058615,0.285738012,0.279342423,0.271908412,0.26354496,0.254448859,0.244752434,0.234454329,0.223161925,0.211238007,0.198682624,0.185687594,0.172354029,0.158769118,0.144996434,0.281298783,0.275404483,0.268905777,0.261184909,0.25222834,0.242436962,0.231818709,0.220453801,0.208680683,0.196129637,0.183292141,0.170094702,0.156664253,0.143034755,0.279801252,0.273924485,0.267030442,0.259007125,0.250124043,0.240368767,0.230018853,0.218777652,0.206912458,0.194515354,0.181682113,0.168512222,0.15509739,0.14148444,0.278596705,0.272587935,0.265569526,0.25765606,0.248796411,0.239094789,0.228540562,0.217307027,0.205454182,0.193069473,0.180248575,0.167090797,0.153689332,0.140092101,0.277257434,0.271307466,0.264280352,0.256331481,0.247486855,0.237720511,0.227208173,0.215987952,0.204145413,0.19177104,0.178960324,0.165812462,0.152422061,0.138837777,0.276101261,0.270083324,0.263093987,0.25515269,0.246276228,0.236518288,0.226012626,0.21480067,0.202966454,0.190600311,0.177797605,0.164657432,0.151275774,0.137699011,0.275051332,0.26904422,0.262049855,0.254075373,0.245168635,0.235447896,0.224944893,0.213735661,0.201904258,0.189541018,0.176741313,0.163604244,0.150231645,0.13665363,0.274072501,0.268020421,0.26103048,0.253038186,0.244163567,0.234447427,0.223949092,0.212744501,0.200878018,0.188526635,0.175738854,0.162613603,0.149261931,0.13567052,0.273123196,0.267098312,0.260064789,0.252087357,0.243223631,0.23345072,0.222961866,0.211767282,0.19995065,0.187602122,0.174816824,0.161693606,0.148345512,0.134758265,0.272221548,0.266160077,0.259140075,0.251185229,0.242325824,0.232617487,0.222126743,0.210929296,0.199108766,0.186755099,0.173963421,0.16083253,0.147463013,0.13388905
8,0.415216709,0.408713039,0.401102747,0.392423505,0.382727543,0.372081093,0.360562127,0.348259308,0.335269595,0.321696945,0.307650296,0.293242244,0.278557908,0.263661579,0.406497603,0.400024411,0.392449951,0.383811755,0.374161913,0.363566303,0.352102773,0.33985939,0.326932855,0.313426554,0.299448973,0.28511212,0.270499731,0.255679705,0.398056828,0.391615636,0.384078851,0.375483761,0.365882481,0.355340357,0.343935093,0.331754251,0.318894113,0.305457569,0.291552567,0.277290551,0.262768679,0.248188797,0.389933058,0.38352541,0.376028023,0.367478248,0.357927714,0.34744172,0.336097398,0.323982061,0.311191469,0.29782797,0.283998959,0.269878182,0.255607887,0.241096339,0.382161648,0.375788992,0.368332853,0.359830235,0.350332693,0.33990525,0.328624592,0.316577626,0.303859574,0.290572301,0.276948284,0.263038228,0.248830279,0.234452298,0.374774346,0.368438118,0.361024853,0.352571362,0.343129029,0.33276242,0.321548024,0.309572172,0.29692963,0.283925808,0.270454358,0.256693266,0.242592525,0.228369153,0.367799687,0.36150128,0.354132413,0.345729857,0.336344736,0.326041382,0.314895687,0.302993628,0.290714892,0.277889943,0.264691243,0.25121684,0.237514502,0.223593996,0.361789397,0.355552723,0.348256861,0.339937985,0.330646876,0.320447244,0.309627297,0.298254831,0.286023215,0.273729948,0.260677841,0.247259703,0.233649136,0.219841411,0.356459096,0.350260503,0.343009351,0.33474171,0.325523238,0.316158062,0.305936208,0.294801301,0.28310003,0.270653074,0.257730796,0.244469997,0.230958193,0.217250495,0.35228799,0.346149422,0.338968938,0.332339723,0.323815238,0.314070072,0.303596229,0.292439059,0.280612028,0.268313754,0.255523347,0.242351077,0.228972978,0.215419643,0.350751809,0.344949754,0.3383016,0.330678173,0.321902991,0.312287624,0.301921925,0.29080074,0.279214596,0.266907221,0.254159561,0.241063556,0.227728129,0.21417164,0.349444755,0.343588001,0.337381721,0.329404853,0.320734355,0.311201754,0.300863049,0.289762289,0.277994625,0.265707575,0.252978308,0.239900738,0.226591334,0.213003887,0.348706207,0.34288615,0.336073625,0.328351287,0.319671886,0.310068767,0.299744351,0.288658061,0.276902687,0.264630388,0.25191001,0.238841033,0.225541702,0.211974819,0.347652928,0.34183871,0.335095504,0.327340377,0.318664021,0.309137149,0.298772138,0.287661377,0.275935831,0.263665423,0.250945868,0.237876612,0.224562127,0.211020252
10,0.524215527,0.517786175,0.510213596,0.501535695,0.491805825,0.481091377,0.469472149,0.457038737,0.443890474,0.430133733,0.41588006,0.40124484,0.386328991,0.371181908,0.51415941,0.50775822,0.500218744,0.491578766,0.481891353,0.471223798,0.459655511,0.447276744,0.434186471,0.420490588,0.406300199,0.391730141,0.376877827,0.361800814,0.504321249,0.497949753,0.49044508,0.481844989,0.47220239,0.461584192,0.450069592,0.437748407,0.424719178,0.411087406,0.396963617,0.382462179,0.367682193,0.352680115,0.494741972,0.488401568,0.480933495,0.472375255,0.462779668,0.452213244,0.440754907,0.428494089,0.41552887,0.401964287,0.387910353,0.37348082,0.35877649,0.343853099,0.485458922,0.479151045,0.471721181,0.463206713,0.453660189,0.443147913,0.431748373,0.419550629,0.406652268,0.393157856,0.379176837,0.364822385,0.350196847,0.335355712,0.476506135,0.470232119,0.462842003,0.454373055,0.444877602,0.434421692,0.423083311,0.410951201,0.39812246,0.384701046,0.370795913,0.356519589,0.341975811,0.327213889,0.467913737,0.461674797,0.454325957,0.445904317,0.43646188,0.426064381,0.414789549,0.402725517,0.38996901,0.37662336,0.362796901,0.3486016,0.334142377,0.3195028,0.459708536,0.45350599,0.44619983,0.437827149,0.428439567,0.418102511,0.406893389,0.39489973,0.382217949,0.368950599,0.355205564,0.341094054,0.326827503,0.31244063,0.451913872,0.445748851,0.438486738,0.430164511,0.420833525,0.410558853,0.399417489,0.387496586,0.37489178,0.361705286,0.348044229,0.334212966,0.320106581,0.305872638,0.444550114,0.438423588,0.431206867,0.422936536,0.41366371,0.403453254,0.392381639,0.380535502,0.368009953,0.354912475,0.341617225,0.327931351,0.313998955,0.299941431,0.437706652,0.431615036,0.42443932,0.416216116,0.406996494,0.39684495,0.385837713,0.374345562,0.362187511,0.349481835,0.336399829,0.323002804,0.309345657,0.295474036,0.432106012,0.426076724,0.418974524,0.410835517,0.401710463,0.391663149,0.380769186,0.369579417,0.357618131,0.34524868,0.332400683,0.319251195,0.305772287,0.29193268,0.426854538,0.420864551,0.414309768,0.406145393,0.397114623,0.387726979,0.377499965,0.366379672,0.354791559,0.34247806,0.329775258,0.316664855,0.303250318,0.289540174,0.422944507,0.417020051,0.410116504,0.402927774,0.39457554,0.385316661,0.375430087,0.364215559,0.352549696,0.340494928,0.327791853,0.314714999,0.3013708,0.287792426
12,0.637794606,0.631458243,0.623944791,0.61529239,0.605555262,0.594801904,0.583113963,0.570583748,0.557312882,0.543410005,0.528989061,0.514168039,0.499056336,0.483730493,0.62650237,0.620192202,0.612709338,0.604091926,0.594393914,0.583683767,0.572042616,0.559562711,0.546345092,0.532498072,0.518135164,0.503373841,0.48831739,0.473055093,0.615370197,0.609087557,0.60163699,0.593056586,0.583399918,0.572735379,0.561143777,0.548716883,0.535555493,0.521767442,0.507465731,0.492767417,0.477776671,0.462583162,0.60444143,0.598187677,0.590771075,0.582229428,0.572616292,0.561999692,0.550460108,0.538088972,0.524986643,0.511260533,0.497023148,0.482390983,0.467469099,0.452347931,0.593755615,0.587532142,0.580151008,0.571650041,0.562082431,0.551515999,0.540030855,0.527718034,0.514677507,0.501016151,0.486846063,0.4722831,0.457433088,0.442387572,0.583348821,0.577156991,0.569812865,0.561354244,0.551834154,0.541319953,0.529891549,0.517639527,0.504663411,0.491069565,0.476969559,0.462478665,0.447703404,0.432728936,0.573253629,0.567094552,0.559789056,0.551374358,0.541903564,0.531443616,0.520074145,0.507885299,0.494976049,0.481452296,0.467425008,0.453008926,0.438311162,0.423420579,0.563498992,0.557373842,0.550108034,0.541738975,0.532319233,0.521915552,0.510606998,0.49848352,0.485643462,0.472192234,0.458240225,0.443901553,0.429283863,0.414481104,0.554109976,0.548019937,0.540795294,0.532473198,0.523106125,0.512760411,0.501514877,0.489458828,0.476690175,0.463313794,0.449439453,0.435180611,0.420645423,0.405932951,0.545109275,0.539055202,0.531872885,0.523599101,0.514286277,0.504000207,0.492819459,0.480832721,0.46813751,0.454838055,0.441043559,0.426866653,0.412416267,0.39776162,0.536609724,0.530586897,0.523441114,0.515209537,0.505944074,0.495710751,0.484587538,0.472663137,0.460034621,0.446805831,0.433085563,0.418985693,0.404618448,0.38996873,0.528442996,0.522457596,0.515355924,0.507174695,0.497965614,0.487794407,0.476738683,0.464886489,0.452317553,0.439172084,0.425538284,0.41152743,0.397269256,0.382788565,0.520699019,0.514752459,0.507696304,0.49956708,0.49041638,0.480278009,0.469294699,0.457520263,0.44505069,0.431988578,0.418441293,0.404620071,0.390603644,0.376344212,0.513296762,0.507395994,0.500393455,0.49232547,0.483243015,0.473210625,0.462305093,0.450613171,0.438230063,0.425257616,0.411940709,0.39841342,0.384743117,0.370874317
