z [m],M_0 [-],tau [-],Nc_L [%],F_n [N],W_f [kg/s],jet_V [m/s],jet_Tt [K],jet_rho [kg/m3],jet_A [m2],jet_M [-],core_mdot [kg/s],core_Pt_i [Pa],core_Tt_i [K],core_Tt_j [K],turb_DTt_des [K],turb_rho_i [kg/m3],turb_c_i [m/s],turb_rho_e [kg/m3],turb_c_e [m/s],fan_mdot [kg/s],fan_N [rpm],fan_DTt [K]
0,0,1.05,0,88014.1064,1.2352,422.72564,521.63163,0.81136,0.61944,1.01494,33.21907,2142906.022,743.77832,1939.72887,854.86746,3.67755,840.83565,0.57689,628.57912,213.30877,3538.11184,74.53496
0,0,1,0,83821.6256,1.1403,408.25766,506.97413,0.82859,0.61933,0.99019,32.00774,2034191.487,727.80348,1882.74609,828.08625,3.59662,829.14028,0.57813,620.88568,210.3812,3419.83905,69.36586
0,0,0.95,0,79632.7628,1.0591,394.80783,495.21661,0.84175,0.61932,0.96489,30.84825,1935647.654,714.71163,1835.24213,805.61968,3.51096,819.23934,0.57653,614.41247,206.70278,3323.82166,65.21727
0,0,0.9,0,75444.5808,0.9855,381.78079,484.92726,0.85288,0.61928,0.939,29.72026,1842778.193,703.00712,1791.90667,785.00972,3.42333,810.0835,0.57373,608.46015,202.53643,3233.27818,61.57824
0,0,0.85,0,71252.0075,0.9169,368.87767,475.54564,0.86279,0.6193,0.91237,28.60765,1753215.64,691.95922,1750.7059,765.15582,3.33359,801.27454,0.57031,602.807,197.99263,3144.01735,58.2207
0,0,0.8,0,67059.1691,0.8527,356.03793,466.93635,0.87163,0.61932,0.88497,27.49381,1666030.752,681.35262,1711.66079,745.94668,3.24007,792.81477,0.56624,597.51172,193.07968,3064.12347,55.08651
0,0,0.75,0,62869.0767,0.7919,343.16027,458.9019,0.87966,0.61931,0.85678,26.37772,1580653.493,670.97388,1673.91501,726.95977,3.14334,784.53666,0.56177,592.46582,187.82475,2989.94525,52.10235
0,0,0.7,0,58678.1722,0.7333,330.0684,451.12283,0.88746,0.6193,0.82763,25.24084,1495530.416,660.62296,1636.5546,707.65888,3.04195,776.26584,0.5571,587.58012,182.27155,2913.5146,49.12937
0,0,0.65,0,54485.0284,0.6753,316.56235,443.1866,0.89582,0.61932,0.7974,24.09345,1410205.081,649.78865,1596.9539,686.99712,2.93952,767.39875,0.55319,582.39627,176.48184,2829.13652,46.0625
0,0,0.6,0,50292.6582,0.6187,302.69494,435.30895,0.90434,0.61935,0.76599,22.93936,1325190.786,638.63974,1555.89249,665.35256,2.8352,758.07341,0.5498,577.01498,170.38002,2738.71809,42.98812
0,0,0.55,0,46102.2228,0.5621,288.27684,427.03231,0.91403,0.61932,0.7333,21.75587,1238741.047,626.52082,1511.25009,641.48423,2.72853,747.7765,0.54757,571.17851,164.00972,2639.00335,39.71852
0,0,0.5,0,41911.6391,0.507,273.37142,418.7736,0.92404,0.61932,0.69908,20.55851,1152290.87,613.77556,1464.4443,615.9573,2.61923,736.81007,0.54593,565.11117,157.24596,2532.15872,36.37934
0,0,0.45,0,37720.3384,0.4534,257.90866,410.55229,0.93434,0.61932,0.66311,19.36159,1066547.759,600.29036,1414.57201,588.53704,2.5098,724.94992,0.54539,558.58813,150.02163,2419.43315,33.02249
0,0,0.4,0,33529.2033,0.4012,241.75924,402.27385,0.94518,0.61933,0.62509,18.14626,980590.2955,585.94499,1361.33937,559.00865,2.39776,712.01729,0.54613,551.57062,142.27739,2300.92734,29.60756
0,0,0.35,0,29338.9812,0.3504,224.80131,393.94646,0.95659,0.6193,0.58465,16.9216,894909.7747,570.71771,1303.83703,526.92419,2.28476,697.76943,0.54859,543.87704,133.90712,2168.0196,26.1124
0,0,0.3,0,25146.9587,0.3017,206.88421,385.78301,0.96805,0.61932,0.54118,15.66562,809034.6084,554.62451,1243.34627,492.63026,2.16601,682.42318,0.55229,535.77212,124.73451,2018.18699,22.57499
0,0.05,1.05,0,84516.9988,1.2346,422.89304,521.38128,0.81197,0.61945,1.01571,33.23282,2143141.352,743.56309,1938.55001,854.24045,3.68019,840.59577,0.57777,628.44828,213.55713,3534.68215,74.38902
0,0.05,1,0,80491.8134,1.1426,408.88803,507.23312,0.82857,0.61933,0.99171,32.05662,2037736.027,728.1399,1883.54356,828.38477,3.60136,829.30587,0.57887,621.02231,210.69712,3420.7078,69.40097
0,0.05,0.95,0,76468.0818,1.0633,395.77937,495.75523,0.84141,0.61932,0.96707,30.92551,1941553.373,715.37271,1837.25372,806.49757,3.51782,819.66242,0.57729,614.71538,207.12651,3327.2452,65.35087
0,0.05,0.9,0,72446.6673,0.9912,383.06205,485.66772,0.85232,0.61928,0.94186,29.82255,1850657.093,703.91936,1794.89677,786.36462,3.43224,810.71936,0.57456,608.89827,203.08274,3239.15023,61.78579
0,0.05,0.85,0,68420.7427,0.9237,370.4479,476.43599,0.8621,0.6193,0.91589,28.73391,1762853.905,693.08858,1754.48639,766.92124,3.34469,802.08825,0.57124,603.34971,198.67211,3151.33603,58.48656
0,0.05,0.8,0,64394.2051,0.8604,357.87755,467.92904,0.87085,0.61932,0.88916,27.64268,1677205.17,682.66616,1716.06394,748.06488,3.25343,793.77511,0.56731,598.13035,193.90317,3072.2643,55.39669
0,0.05,0.75,0,60371.201,0.8005,345.28089,460.0099,0.87878,0.6193,0.86165,26.5483,1593319.882,672.497,1679.05286,729.49817,3.15883,785.66866,0.56292,593.17408,188.79172,2999.60679,52.46439
0,0.05,0.7,0,56346.2141,0.7426,332.457,452.3391,0.88647,0.61931,0.83316,25.43362,1509637.811,662.33878,1642.39868,710.62554,3.05972,777.56526,0.55831,588.36825,183.3886,2925.16777,49.54474
0,0.05,0.65,0,52320.0629,0.6855,319.26545,444.55196,0.89461,0.61932,0.80368,24.30661,1425740.26,651.76183,1603.82767,690.53024,2.95916,768.94717,0.55435,583.32121,177.74603,2843.61746,46.54168
0,0.05,0.6,0,48294.6548,0.6295,305.69492,436.77141,0.90301,0.61935,0.77303,23.172,1341955.858,640.84029,1563.61421,669.38786,2.85689,759.83814,0.55093,578.04651,171.81016,2755.68911,43.51531
0,0.05,0.55,0,44270.2014,0.5739,291.62447,428.72482,0.91227,0.61932,0.74111,22.01236,1257188.414,629.14457,1520.53191,646.42357,2.75226,749.93198,0.54845,572.41038,165.59047,2659.39427,40.34555
0,0.05,0.5,0,40246.2476,0.519,277.02686,420.53479,0.92216,0.61932,0.70772,20.83194,1171699.878,616.66493,1474.70545,621.53269,2.64482,739.22765,0.54672,566.45976,159.02016,2555.21933,37.05374
0,0.05,0.45,0,36221.4443,0.4657,261.88576,412.38685,0.93231,0.61932,0.67262,19.64904,1086777.113,603.50682,1426.06654,594.84534,2.53679,727.70373,0.54594,560.10777,151.99923,2445.01613,33.73734
0,0.05,0.4,0,32196.8208,0.4137,246.08182,404.20599,0.94291,0.61932,0.63552,18.44904,1001678.495,589.51349,1374.25252,566.14286,2.42631,715.18237,0.5463,553.29737,144.46748,2329.46471,30.3724
0,0.05,0.35,0,28172.6536,0.3629,229.46438,395.9246,0.95416,0.61933,0.59604,17.23456,916428.3954,574.59846,1318.19967,534.92395,2.3142,701.35292,0.54831,545.82123,136.33892,2201.79584,26.92054
0,0.05,0.3,0,24147.578,0.3137,211.89518,387.69866,0.9657,0.61933,0.55364,15.99494,831018.6726,558.77454,1258.37158,501.23379,2.1983,686.27825,0.55185,537.77465,127.44122,2056.3992,23.40345
0,0.1,1.05,0,81524.757,1.2392,424.34686,521.70615,0.81247,0.61952,1.01951,33.35147,2151125.535,744.07475,1939.15011,854.2895,3.69276,840.72035,0.58011,628.6137,214.44784,3533.27141,74.32906
0,0.1,1,0,77642.8645,1.1497,410.77359,508.01509,0.82849,0.61932,0.99624,32.20433,2048440.272,729.15423,1885.95434,829.28764,3.61565,829.80618,0.58108,621.4348,211.64611,3423.2885,69.5042
0,0.1,0.95,0,73760.6479,1.0719,397.97167,496.7776,0.84104,0.61932,0.97222,31.09535,1954102.42,716.68392,1840.81525,807.95698,3.5337,820.41164,0.57946,615.28589,208.18001,3332.41854,65.54158
0,0.1,0.9,0,69881.514,1.0008,385.52742,486.84953,0.85177,0.61929,0.94762,30.01133,1864675.135,705.44984,1799.35116,788.26703,3.44968,811.66665,0.57674,609.59227,204.25527,3246.7282,62.0376
0,0.1,0.85,0,65998.2768,0.9341,373.16858,477.72619,0.86144,0.6193,0.92228,28.94115,1778171.062,694.80726,1759.63352,769.19867,3.36389,803.19559,0.57347,604.13319,199.97464,3160.21213,58.78486
0,0.1,0.8,0,62114.697,0.8713,360.83625,469.27784,0.87017,0.61931,0.89617,27.86736,1693624.862,684.53864,1721.71618,750.65288,3.2745,795.00683,0.56963,598.97064,195.34777,3081.78778,55.72731
0,0.1,0.75,0,58232.3245,0.8118,348.46785,461.40967,0.87806,0.61932,0.86926,26.78838,1610700.629,674.52998,1685.23764,732.42457,3.18157,787.03059,0.56529,594.07175,190.38005,3010.37455,52.82897
0,0.1,0.7,0,54350.8031,0.7545,335.90071,453.80951,0.88569,0.61931,0.84143,25.69096,1528045.579,664.52898,1649.17162,713.93095,3.08431,779.06994,0.56071,589.32768,185.11983,2937.79916,49.95095
0,0.1,0.65,0,50467.759,0.6978,322.97897,446.12083,0.89369,0.61932,0.81262,24.57797,1445098.451,654.16191,1611.49492,694.3382,2.98507,770.67105,0.55665,584.39847,179.62297,2858.90374,46.99633
0,0.1,0.6,0,46586.2359,0.6421,309.67437,438.38467,0.90204,0.61934,0.78268,23.45723,1362120.527,643.41957,1571.95337,673.61838,2.88444,761.73958,0.5532,579.20355,173.85214,2773.28533,44.00249
0,0.1,0.55,0,42702.9023,0.5872,295.92834,430.56081,0.91085,0.61932,0.75148,22.31713,1278731.96,632.14045,1530.41965,651.54383,2.78134,752.22103,0.55037,573.76803,167.7678,2680.11172,40.93058
0,0.1,0.5,0,38821.396,0.5324,281.60733,422.39257,0.9207,0.61932,0.71887,21.14841,1193803.403,619.87855,1485.39459,627.20639,2.67532,741.73946,0.54854,567.90637,161.38789,2578.27299,37.67327
0,0.1,0.45,0,34939.0743,0.479,266.7552,414.25797,0.93081,0.61932,0.68459,19.9738,1109256.927,606.97864,1437.73875,601.12936,2.56824,730.48726,0.54754,561.68706,154.56985,2470.04683,34.38058
0,0.1,0.4,0,31056.9477,0.427,251.26362,406.10647,0.94131,0.61932,0.64837,18.78396,1024595.617,593.26618,1387.01756,573.10278,2.45898,718.29535,0.54759,555.02826,147.25144,2356.61441,31.04782
0,0.1,0.35,0,27175.373,0.3759,234.97412,397.83019,0.95249,0.61933,0.60983,17.57453,939477.4876,578.62616,1332.23173,542.66059,2.34742,704.83923,0.54916,547.73804,139.35875,2233.76689,27.6308
0,0.1,0.3,0,23291.7774,0.3262,217.72245,389.51649,0.96416,0.61938,0.56842,16.34358,854040.7171,563.00699,1273.142,509.54877,2.23299,690.0409,0.5524,539.78143,130.73804,2093.61743,24.1244
0,0.15,1.05,0,79012.443,1.2494,427.08053,522.6251,0.81285,0.6197,1.02631,33.57754,2167067.391,745.33682,1941.61734,855.05628,3.7154,841.22723,0.58393,629.0866,215.98939,3534.02101,74.35766
0,0.15,1,0,75252.9138,1.1617,413.9254,509.33812,0.82835,0.61932,1.0038,32.45272,2066473.452,730.85183,1890.02788,830.80988,3.63962,830.65057,0.5848,622.13236,213.2314,3427.54025,69.68096
0,0.15,0.95,0,71490.0367,1.085,401.40178,498.30734,0.84061,0.61932,0.98037,31.36077,1973531.25,718.65782,1845.96168,810.0063,3.55889,821.49318,0.5831,616.13079,209.8645,3339.28423,65.79606
0,0.15,0.9,0,67730.0032,1.0145,389.1947,488.49959,0.8512,0.61929,0.95633,30.28996,1885098.762,707.61602,1805.32045,790.73419,3.47593,812.93497,0.58031,610.55062,206.05605,3256.03131,62.34135
0,0.15,0.85,0,63963.0294,0.9482,377.0284,479.4294,0.8608,0.61937,0.93148,29.23168,1799230.385,697.10934,1766.18778,771.99448,3.39109,804.60349,0.57699,605.16519,201.90987,3170.55755,59.11787
0,0.15,0.8,0,60202.297,0.8857,364.93408,471.02731,0.8695,0.61932,0.90602,28.17156,1715603.671,687.00463,1728.74488,753.76129,3.30351,796.53599,0.57323,600.05298,197.41136,3092.98686,56.09127
0,0.15,0.75,0,56439.2686,0.8263,352.76916,463.1635,0.87742,0.61932,0.87968,27.10324,1633214.474,677.11431,1692.65358,735.81177,3.21191,788.66178,0.56891,595.18946,192.58549,3022.43547,53.21163
0,0.15,0.7,0,52677.5197,0.769,340.41496,455.5771,0.88505,0.61931,0.85245,26.01726,1551111.911,667.22883,1657.00039,717.62693,3.11607,780.80695,0.56434,590.47893,187.46968,2951.52654,50.36039
0,0.15,0.65,0,48913.9829,0.7125,327.72959,447.94209,0.89297,0.61932,0.82425,24.91274,1468677.162,657.03382,1620.07566,698.47826,3.01771,772.59592,0.56015,585.64475,182.11338,2875.13137,47.44157
0,0.15,0.6,0,45152.2184,0.6567,314.65602,440.20753,0.90134,0.61933,0.79497,23.80008,1386027.093,646.4208,1581.07203,678.10568,2.91814,763.81323,0.55661,580.51415,176.50266,2791.63561,44.46505
0,0.15,0.55,0,41388.8033,0.6022,301.19213,432.51183,0.90987,0.61932,0.76445,22.67193,1303425.86,635.45491,1540.72529,656.74289,2.81609,754.59904,0.55348,575.22683,170.56108,2701.29784,41.46178
0,0.15,0.5,0,37625.2558,0.5474,287.13842,424.40488,0.91956,0.61933,0.73255,21.51503,1219075.895,623.48273,1496.61398,633.03591,2.71147,744.36867,0.55146,569.46236,164.34926,2601.73825,38.25592
0,0.15,0.45,0,33863.5171,0.4937,272.55383,416.2462,0.92969,0.61932,0.69906,20.34195,1134464.874,610.78446,1449.87821,607.52843,2.60461,733.37142,0.55018,563.37056,157.73217,2495.1466,34.976
0,0.15,0.4,0,30100.8971,0.4413,257.34134,408.05602,0.94023,0.61932,0.66368,19.15734,1049819.688,597.2835,1399.92745,580.03628,2.49628,721.42694,0.54997,556.80758,150.63041,2382.91563,31.65737
0,0.15,0.35,0,26338.6522,0.3898,241.35656,399.74417,0.95141,0.61933,0.62605,17.94812,964483.4337,582.87103,1346.22801,550.27359,2.38484,708.30246,0.55112,549.676,142.97163,2264.39339,28.26294
0,0.15,0.3,0,22575.5694,0.3395,224.44109,391.36131,0.96315,0.61935,0.58566,16.71939,878808.2134,567.50603,1288.11786,517.82238,2.27103,693.82943,0.5539,541.86006,134.61511,2129.67337,24.77541
0,0.2,1.05,0,76957.6896,1.265,431.07875,524.12838,0.81312,0.62001,1.03609,33.91122,2191006.526,747.33062,1945.89231,856.51041,3.74819,842.10381,0.58926,629.85953,218.1906,3536.86909,74.4784
0,0.2,1,0,73296.3929,1.1786,418.30121,511.19216,0.82815,0.61943,1.0143,32.80504,2092022.525,733.24299,1895.67679,832.92514,3.67364,831.81988,0.59006,623.09635,215.46493,3433.53575,69.92858
0,0.2,0.95,0,69631.1197,1.1026,406.0515,500.34534,0.84015,0.61932,0.99147,31.72384,1999955.796,721.2835,1852.60661,812.60208,3.59361,822.88735,0.58826,617.23822,212.17517,3347.5537,66.11253
0,0.2,0.9,0,65969.1426,1.0324,394.05356,490.62233,0.85061,0.61929,0.96794,30.66047,1912045.325,710.4031,1812.71506,793.71332,3.51124,814.50388,0.58536,611.76305,208.47912,3266.41504,62.69691
0,0.2,0.85,0,62302.001,0.9663,382.10521,481.61741,0.86011,0.61932,0.94366,29.61094,1826840.153,700.07413,1774.2415,775.34752,3.42751,806.3304,0.582,606.46292,204.44568,3182.63552,59.50493
0,0.2,0.8,0,58637.4474,0.9036,370.16995,473.19725,0.86885,0.61932,0.91868,28.55778,1743337.203,690.06183,1737.13176,757.36521,3.3407,798.35655,0.57818,601.37895,200.08693,3105.59779,56.49179
0,0.2,0.75,0,54972.2691,0.8439,358.178,465.29855,0.87684,0.61932,0.89288,27.49547,1661085.047,680.26335,1701.3178,739.65556,3.25009,790.56464,0.57385,596.53259,195.40119,3035.71752,53.61999
0,0.2,0.7,0,51307.6284,0.7863,346.00233,457.68083,0.88452,0.61932,0.86619,26.41577,1579100.588,670.45956,1665.93968,721.73087,3.15528,782.78708,0.56925,591.83201,190.4264,2966.30024,50.7833
0,0.2,0.65,0,47642.2059,0.7297,333.52451,450.06321,0.89239,0.61932,0.83857,25.31467,1496780.526,660.40729,1629.66295,702.98175,3.05736,774.74077,0.56488,587.07723,185.20711,2892.28334,47.8899
0,0.2,0.6,0,43979.2754,0.6737,320.65733,442.29767,0.90081,0.61932,0.8099,24.20426,1414057.547,649.8899,1591.14145,682.92613,2.95831,766.09619,0.56121,582.00545,179.75351,2810.8296,44.92042
0,0.2,0.55,0,40312.8862,0.6188,307.40006,434.5605,0.9094,0.61932,0.78001,23.07871,1331341.085,639.04258,1551.26235,661.9174,2.85686,757.02233,0.55794,576.76349,173.97792,2722.84921,41.92729
0,0.2,0.5,0,36647.5672,0.5644,293.64933,426.6537,0.91861,0.61932,0.74879,21.93332,1247816.517,627.51606,1508.7675,639.17956,2.75304,747.20779,0.5554,571.2017,167.89206,2625.92952,38.82162
0,0.2,0.45,0,32983.2327,0.5101,279.29881,418.43065,0.92881,0.61932,0.71603,20.75865,1162818.205,614.99095,1462.71643,614.14783,2.64628,736.41118,0.55386,565.19529,161.47303,2520.79572,35.54572
0,0.2,0.4,0,29318.3529,0.4569,264.33504,410.14569,0.93948,0.61932,0.68145,19.57451,1077788.184,601.64305,1413.28535,587.08237,2.53856,724.64961,0.55343,558.68518,154.59157,2409.18815,32.22605
0,0.2,0.35,0,25653.3894,0.4048,248.63169,401.76181,0.95073,0.61933,0.6447,18.36193,991926.7275,587.4179,1360.472,557.89584,2.42702,711.8128,0.55416,551.68141,147.16611,2294.07523,28.8411
0,0.2,0.3,0,21988.7958,0.3538,232.03577,393.28795,0.96257,0.61934,0.6053,17.12971,905682.4813,572.27164,1303.31263,526.08886,2.31319,697.6465,0.55645,544.00156,139.07264,2164.75105,25.36848
0,0.25,1.05,0,75337.6243,1.2864,436.29847,526.21075,0.81329,0.62054,1.04875,34.35451,2223105.264,750.05125,1951.95644,858.64267,3.79129,843.34546,0.59612,630.92872,221.06366,3541.75552,74.68728
0,0.25,1,0,71752.8703,1.2007,423.86489,513.57621,0.82789,0.61972,1.02764,33.26097,2125167.583,736.3095,1902.95897,835.65002,3.71757,833.32404,0.59686,624.3374,218.35863,3441.19951,70.24697
0,0.25,0.95,0,68164.9011,1.1248,411.90937,502.90436,0.83965,0.61934,1.00548,32.18711,2033585.653,724.55197,1860.70853,815.71178,3.63813,824.58349,0.59504,618.6057,215.10758,3356.92095,66.4927
0,0.25,0.9,0,64578.8801,1.0547,400.09183,493.2446,0.84997,0.61931,0.98243,31.12635,1945787.181,713.81932,1821.54027,797.19525,3.55589,816.37275,0.59196,613.23298,211.51437,3277.89938,63.10697
0,0.25,0.85,0,60990.2224,0.9884,388.31937,484.26428,0.85942,0.61932,0.95864,30.07913,1860637.625,703.62113,1783.64766,779.16703,3.47251,808.34276,0.58846,608.00777,207.59504,3195.95256,59.93849
0,0.25,0.8,0,57407.1344,0.9253,376.56853,475.83687,0.86815,0.61926,0.9342,29.03016,1777211.978,693.72991,1746.9275,761.46696,3.38652,800.47702,0.58458,602.9621,203.35687,3119.55747,56.94069
0,0.25,0.75,0,53814.8601,0.865,364.69162,467.85288,0.87625,0.61932,0.90883,27.96824,1694579.441,683.98873,1711.2667,743.95252,3.29635,792.74454,0.58016,598.11184,198.81392,3050.13892,54.06242
0,0.25,0.7,0,50227.5418,0.8069,352.66769,460.16729,0.88403,0.61932,0.88264,26.89106,1612365.675,674.24761,1676.03282,726.24186,3.20235,785.01839,0.57551,593.39862,193.97945,2982.08469,51.2314
0,0.25,0.65,0,46643.4105,0.7499,340.39157,452.54571,0.89188,0.61928,0.85559,25.789,1529831.972,664.32104,1640.35752,707.8853,3.1045,777.12613,0.57092,588.71307,188.89184,2910.45906,48.36066
