z [m],M_0 [-],T/TMAX [-],Nc_L [%],Fn [N],Wf [kg/s],jet_V [m/s],jet_Tt [K],jet_rho [kg/m3],jet_A [m2],jet_M [-],core_mdot_in [kg/s],core_Pt_in [Pa],core_Tt_in [K],core_Tt_out [K],core_DT_t [K],core_HPT_rho_in [kg/m3],core_HPT_c_in [m/s],core_LPT_rho_out [kg/m3],core_LPT_c_out [m/s],fan_mdot_in [kg/s],fan_N [rpm],fan_DTt [K],fan_d [m],fan_A [m2],fan_M_d [-],fan_B [-],fan_V [-],fan RSS [-]
0.0,0.0,1.05,0.0,88014.1064,1.2352,422.72564000000006,521.63163,0.8113600000000001,0.61944,1.01494,33.21907,2142906.02213,743.77832,1939.72887,854.8674599999999,3.67755,840.83565,0.57689,628.57912,213.30877,3538.11184,74.53496,1.1948,0.7032,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,83821.6256,1.1403,408.25766,506.97413,0.8285899999999999,0.61933,0.99019,32.007740000000005,2034191.48744,727.80348,1882.7460899999999,828.08625,3.5966199999999997,829.14028,0.57813,620.88568,210.3812,3419.83905,69.36586,1.1948,0.7032,0.0,0.0,0.0,0.0
0.0,0.0,0.95,0.0,79632.7628,1.0591,394.80782999999997,495.21660999999995,0.84175,0.61932,0.9648899999999999,30.84825,1935647.6536400001,714.71163,1835.24213,805.61968,3.51096,819.2393400000001,0.57653,614.41247,206.70278000000002,3323.82166,65.21727,1.1948,0.7032,0.0,0.0,0.0,0.0
0.0,0.0,0.9,0.0,75444.5808,0.9855,381.78078999999997,484.92726,0.85288,0.61928,0.939,29.720259999999996,1842778.19333,703.00712,1791.9066699999998,785.00972,3.4233300000000004,810.0835,0.5737300000000001,608.46015,202.53643,3233.2781800000002,61.57824,1.1948,0.7032,0.0,0.0,0.0,0.0
0.0,0.0,0.85,0.0,71252.0075,0.9169,368.87767,475.54564000000005,0.86279,0.6193,0.9123700000000001,28.60765,1753215.64006,691.9592200000001,1750.7059,765.1558200000001,3.33359,801.27454,0.57031,602.807,197.99263,3144.01735,58.2207,1.1948,0.7032,0.0,0.0,0.0,0.0
0.0,0.0,0.8,0.0,67059.1691,0.8527,356.03792999999996,466.93635,0.8716299999999999,0.61932,0.88497,27.493809999999996,1666030.75227,681.35262,1711.66079,745.94668,3.2400700000000002,792.8147700000001,0.56624,597.51172,193.07968,3064.12347,55.08651,1.1948,0.7032,0.0,0.0,0.0,0.0
0.0,0.0,0.75,0.0,62869.0767,0.7919,343.16027,458.9019,0.87966,0.61931,0.8567799999999999,26.37772,1580653.4928,670.97388,1673.91501,726.95977,3.1433400000000002,784.53666,0.56177,592.46582,187.82475,2989.94525,52.10235,1.1948,0.7032,0.0,0.0,0.0,0.0
0.0,0.0,0.7,0.0,58678.1722,0.7333,330.0684,451.12282999999996,0.88746,0.6193,0.82763,25.24084,1495530.41607,660.6229599999999,1636.5546,707.65888,3.04195,776.26584,0.5571,587.58012,182.27155,2913.5146,49.12937,1.1948,0.7032,0.0,0.0,0.0,0.0
0.0,0.0,0.65,0.0,54485.0284,0.6753,316.56235,443.1866,0.8958200000000001,0.61932,0.7974,24.09345,1410205.0809799999,649.78865,1596.9539,686.99712,2.93952,767.39875,0.55319,582.3962700000001,176.48183999999998,2829.13652,46.0625,1.1948,0.7032,0.0,0.0,0.0,0.0
0.0,0.0,0.6,0.0,50292.6582,0.6187,302.69494,435.30895,0.9043399999999999,0.61935,0.76599,22.93936,1325190.78591,638.6397400000001,1555.89249,665.3525599999999,2.8352,758.07341,0.5498,577.01498,170.38002,2738.71809,42.98812,1.1948,0.7032,0.0,0.0,0.0,0.0
0.0,0.0,0.55,0.0,46102.2228,0.5621,288.27684,427.03230999999994,0.9140299999999999,0.61932,0.7333,21.75587,1238741.04678,626.5208200000001,1511.25009,641.48423,2.72853,747.7765,0.54757,571.17851,164.00972,2639.00335,39.71852,1.1948,0.7032,0.0,0.0,0.0,0.0
0.0,0.0,0.5,0.0,41911.6391,0.507,273.37142,418.7736,0.92404,0.61932,0.69908,20.558510000000002,1152290.86977,613.7755599999999,1464.4443,615.9573,2.61923,736.81007,0.54593,565.11117,157.24596,2532.15872,36.37934,1.1948,0.7032,0.0,0.0,0.0,0.0
0.0,0.0,0.45,0.0,37720.3384,0.4534,257.90866,410.55228999999997,0.93434,0.61932,0.6631100000000001,19.36159,1066547.75937,600.29036,1414.5720099999999,588.53704,2.5098,724.94992,0.5453899999999999,558.58813,150.02163000000002,2419.43315,33.022490000000005,1.1948,0.7032,0.0,0.0,0.0,0.0
0.0,0.0,0.4,0.0,33529.2033,0.4012,241.75923999999998,402.27385,0.9451799999999999,0.61933,0.6250899999999999,18.14626,980590.2954899999,585.9449900000001,1361.33937,559.00865,2.39776,712.01729,0.54613,551.57062,142.27739,2300.9273399999997,29.60756,1.1948,0.7032,0.0,0.0,0.0,0.0
0.0,0.0,0.35,0.0,29338.9812,0.3504,224.80131,393.94646,0.9565899999999999,0.6193,0.58465,16.9216,894909.7747399999,570.71771,1303.8370300000001,526.9241900000001,2.28476,697.7694299999999,0.5485899999999999,543.8770400000001,133.90712,2168.0196,26.1124,1.1948,0.7032,0.0,0.0,0.0,0.0
0.0,0.0,0.3,0.0,25146.9587,0.3017,206.88421,385.78301,0.96805,0.61932,0.54118,15.66562,809034.60835,554.62451,1243.34627,492.63025999999996,2.16601,682.42318,0.55229,535.77212,124.73451000000001,2018.18699,22.57499,1.1948,0.7032,0.0,0.0,0.0,0.0
0.0,0.05,1.05,0.0,84516.9988,1.2346,422.89304000000004,521.38128,0.81197,0.61945,1.0157100000000001,33.232820000000004,2143141.3517400003,743.56309,1938.5500100000002,854.24045,3.68019,840.5957699999999,0.57777,628.44828,213.55712999999997,3534.68215,74.38902,1.1948,0.7032,0.0,0.0,0.0,0.0
0.0,0.05,1.0,0.0,80491.8134,1.1426,408.88802999999996,507.23312000000004,0.82857,0.61933,0.9917100000000001,32.05662,2037736.02688,728.1399,1883.54356,828.38477,3.6013599999999997,829.30587,0.57887,621.02231,210.69712,3420.7078,69.40097,1.1948,0.7032,0.0,0.0,0.0,0.0
