h [m],p [Pa],rho [kg/m3],T [K],c [m/s],cbar [m/s],h [%mole],mu [kg/m s],k [W/m K],l [kg/m2 s]
0,101324.2039,1.183840606,298.1669052,346.158312,346.158312,2.1918,1.84E-05,0.026109739,409.7956382
60.96,100618.4488,1.177171604,297.7669049,345.926664,346.042488,2.13046,1.84E-05,0.026078544,407.2146912
121.92,99916.52425,1.170533525,297.3669046,345.691968,345.926664,2.07043,1.83E-05,0.026047412,404.6463111
182.88,99218.90888,1.163926369,296.9669042,345.46032,345.81084,2.01168,1.83E-05,0.026016217,402.0904981
243.84,98525.12393,1.157344981,296.5669039,345.228672,345.691968,1.9542,1.83E-05,0.025985085,399.5488229
304.8,97835.1694,1.150794517,296.1669036,344.993976,345.576144,1.89797,1.83E-05,0.02595389,397.0181439
365.76,97149.04529,1.144269821,295.7669033,344.762328,345.46032,1.84862,1.83E-05,0.025922633,394.5016027
426.72,96467.2304,1.137776048,295.366903,344.527632,345.344496,1.80028,1.82E-05,0.025891439,391.9960577
487.68,95788.76713,1.131308043,294.9669026,344.295984,345.225624,1.75294,1.82E-05,0.025860244,389.5046505
548.64,95114.61309,1.124865808,294.5669023,344.061288,345.1098,1.70659,1.82E-05,0.025828987,387.0242394
609.6,94443.81066,1.118454496,294.166902,343.82964,344.993976,1.6612,1.82E-05,0.02579773,384.5563954
670.56,93777.31745,1.112032876,293.7780128,343.60104,344.875104,1.61269,1.82E-05,0.025767345,382.0948348
731.52,93114.17587,1.105631871,293.3891236,343.37244,344.75928,1.56524,1.81E-05,0.025736898,379.6458412
792.48,92455.34351,1.099266942,293.0002344,343.146888,344.643456,1.51883,1.81E-05,0.025706512,377.2078438
853.44,91799.86276,1.092927783,292.6113452,342.918288,344.527632,1.47345,1.81E-05,0.025676065,374.7839842
914.4,91148.69124,1.086614392,292.222456,342.689688,344.411808,1.42908,1.81E-05,0.025645617,372.3711208
975.36,90409.42004,1.080301002,291.8335668,342.461088,344.295984,1.38471,1.81E-05,0.02561517,369.9582573
1036.32,89731.43558,1.073987611,291.4446776,342.232488,344.18016,1.34034,1.81E-05,0.025584722,367.5453939
1097.28,89053.45111,1.067674221,291.0557884,342.003888,344.064336,1.29597,1.80E-05,0.025554275,365.1325304
1158.24,88375.46665,1.06136083,290.6668992,341.775288,343.948512,1.2516,1.80E-05,0.025523827,362.719667
1219.2,87697.48218,1.05504744,290.27801,341.546688,343.832688,1.20723,1.80E-05,0.02549338,360.3068036
1300,86798.84135,1.046679298,289.7625532,341.243688,343.679168,1.14841937,0.000018,0.025453024,357.1086513
1400,85686.6621,1.036322688,289.1246116,340.868688,343.489168,1.075633937,0.000018,0.025403078,353.1505421
1500,84574.48285,1.025966077,288.48667,340.493688,343.299168,1.002848504,0.000018,0.025353132,349.1924328
1600,83462.3036,1.015609466,287.8487284,340.118688,343.109168,0.930063071,0.000018,0.025303186,345.2343236
1700,82350.12435,1.005252855,287.2107868,339.743688,342.919168,0.857277638,0.000018,0.02525324,341.2762143
1800,81237.9451,0.994896244,286.5728452,339.368688,342.729168,0.784492205,0.000018,0.025203294,337.3181051
1900,80125.76585,0.984539633,285.9349036,338.993688,342.539168,0.711706772,0.000018,0.025153349,333.3599958
2000,79013.58661,0.974183022,285.296962,338.618688,342.349168,0.638921339,0.000018,0.025103403,329.4018866
2100,77901.40736,0.963826411,284.6590204,338.243688,342.159168,0.566135906,0.000018,0.025053457,325.4437773
2200,76789.22811,0.9534698,284.0210788,337.868688,341.969168,0.493350472,0.000018,0.025003511,321.4856681
2300,75677.04886,0.943113189,283.3831372,337.493688,341.779168,0.420565039,0.000018,0.024953565,317.5275588
2400,74564.86961,0.932756579,282.7451956,337.118688,341.589168,0.347779606,0.000018,0.024903619,313.5694496
2500,73452.69036,0.922399968,282.107254,336.743688,341.399168,0.274994173,0.000018,0.024853673,309.6113403
2600,72340.51111,0.912043357,281.4693124,336.368688,341.209168,0.20220874,0.000018,0.024803727,305.653231
2700,71228.33187,0.901686746,280.8313708,335.993688,341.019168,0.129423307,0.000018,0.024753782,301.6951218
2800,70116.15262,0.891330135,280.1934292,335.618688,340.829168,0.056637874,0.000018,0.024703836,297.7370125
2900,69003.97337,0.880973524,279.5554876,335.243688,340.639168,-0.016147559,0.000018,0.02465389,293.7789033
3000,67891.79412,0.870616913,278.917546,334.868688,340.449168,-0.088932992,0.000018,0.024603944,289.820794
3100,66779.61487,0.860260302,278.2796044,334.493688,340.259168,-0.161718425,0.000018,0.024553998,285.8626848
3200,65667.43562,0.849903691,277.6416628,334.118688,340.069168,-0.234503858,0.000018,0.024504052,281.9045755
