f,d0,d10,d20,d30,d40,d50,d60,d70,d80,d90,d100,d110,d120,d130,d140,d150,d160,d170,d180
Angle,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
50,0.901184,0.901184,0.8950605,0.888937,0.8828135,0.87669,0.8705665,0.864443,0.8583195,0.852196,0.7456715,0.639147,0.5326225,0.426098,0.3195735,0.213049,0.1065245,0,0
63,0.87147,0.87147,0.86364275,0.8558155,0.84798825,0.840161,0.83233375,0.8245065,0.81667925,0.808852,0.7077455,0.606639,0.5055325,0.404426,0.3033195,0.202213,0.1011065,0,0
80,0.835121,0.835121,0.825296,0.815471,0.805646,0.795821,0.785996,0.776171,0.766346,0.756521,0.661955875,0.56739075,0.472825625,0.3782605,0.283695375,0.18913025,0.094565125,0,0
100,0.796093,0.796093,0.784229625,0.77236625,0.760502875,0.7486395,0.736776125,0.72491275,0.713049375,0.701186,0.61353775,0.5258895,0.43824125,0.350593,0.26294475,0.1752965,0.08764825,0,0
125,0.752582,0.752582,0.73857925,0.7245765,0.71057375,0.696571,0.68256825,0.6685655,0.65456275,0.64056,0.56049,0.48042,0.40035,0.32028,0.24021,0.16014,0.08007,0,0
160,0.700157,0.700157,0.68376775,0.6673785,0.65098925,0.6346,0.61821075,0.6018215,0.58543225,0.569043,0.497912625,0.42678225,0.355651875,0.2845215,0.213391125,0.14226075,0.071130375,0,0
200,0.650117,0.650117,0.63165175,0.6131865,0.59472125,0.576256,0.55779075,0.5393255,0.52086025,0.502395,0.439595625,0.37679625,0.313996875,0.2511975,0.188398125,0.12559875,0.062799375,0,0
250,0.599035,0.599035,0.578661125,0.55828725,0.537913375,0.5175395,0.497165625,0.47679175,0.456417875,0.436044,0.3815385,0.327033,0.2725275,0.218022,0.1635165,0.109011,0.0545055,0,0
315,0.546766,0.546766,0.524665125,0.50256425,0.480463375,0.4583625,0.436261625,0.41416075,0.392059875,0.369959,0.323714125,0.27746925,0.231224375,0.1849795,0.138734625,0.09248975,0.046244875,0,0
400,0.49539,0.49539,0.471813125,0.44823625,0.424659375,0.4010825,0.377505625,0.35392875,0.330351875,0.306775,0.268428125,0.23008125,0.191734375,0.1533875,0.115040625,0.07669375,0.038346875,0,0
500,0.451564,0.451564,0.42688425,0.4022045,0.37752475,0.352845,0.32816525,0.3034855,0.27880575,0.254126,0.22236025,0.1905945,0.15882875,0.127063,0.09529725,0.0635315,0.03176575,0,0
630,0.411961,0.411961,0.386359125,0.36075725,0.335155375,0.3095535,0.283951625,0.25834975,0.232747875,0.207146,0.18125275,0.1553595,0.12946625,0.103573,0.07767975,0.0517865,0.02589325,0,0
800,0.378573,0.378573,0.35213525,0.3256975,0.29925975,0.272822,0.24638425,0.2199465,0.19350875,0.167071,0.146187125,0.12530325,0.104419375,0.0835355,0.062651625,0.04176775,0.020883875,0,0
1000,0.355312,0.355312,0.328052875,0.30079375,0.273534625,0.2462755,0.219016375,0.19175725,0.164498125,0.137239,0.120084125,0.10292925,0.085774375,0.0686195,0.051464625,0.03430975,0.017154875,0,0
1250,0.340498,0.340498,0.31220825,0.2839185,0.25562875,0.227339,0.19904925,0.1707595,0.14246975,0.11418,0.0999075,0.085635,0.0713625,0.05709,0.0428175,0.028545,0.0142725,0,0
1600,0.334847,0.334847,0.30495,0.275053,0.245156,0.215259,0.185362,0.155465,0.125568,0.095671,0.083712125,0.07175325,0.059794375,0.0478355,0.035876625,0.02391775,0.011958875,0,0
2000,0.340359,0.340359,0.3083735,0.276388,0.2444025,0.212417,0.1804315,0.148446,0.1164605,0.084475,0.073915625,0.06335625,0.052796875,0.0422375,0.031678125,0.02111875,0.010559375,0,0
2500,0.356988,0.356988,0.322109,0.28723,0.252351,0.217472,0.182593,0.147714,0.112835,0.077956,0.0682115,0.058467,0.0487225,0.038978,0.0292335,0.019489,0.0097445,0,0
3150,0.387108,0.387108,0.348202438,0.309296875,0.270391313,0.23148575,0.192580188,0.153674625,0.114769063,0.0758635,0.066380563,0.056897625,0.047414688,0.03793175,0.028448813,0.018965875,0.009482938,0,0
4000,0.433103,0.433103,0.388825863,0.344548725,0.300271588,0.25599445,0.211717313,0.167440175,0.123163038,0.0788859,0.069025163,0.059164425,0.049303688,0.03944295,0.029582213,0.019721475,0.009860738,0,0
5000,0.489902,0.489902,0.439571638,0.389241275,0.338910913,0.28858055,0.238250188,0.187919825,0.137589463,0.0872591,0.076351713,0.065444325,0.054536938,0.04362955,0.032722163,0.021814775,0.010907388,0,0
6300,0.561369,0.561369,0.50409525,0.4468215,0.38954775,0.332274,0.27500025,0.2177265,0.16045275,0.103179,0.090281625,0.07738425,0.064486875,0.0515895,0.038692125,0.02579475,0.012897375,0,0
8000,0.644654,0.644654,0.5803365,0.516019,0.4517015,0.387384,0.3230665,0.258749,0.1944315,0.130114,0.11384975,0.0975855,0.08132125,0.065057,0.04879275,0.0325285,0.01626425,0,0
10000,0.725008,0.725008,0.655418375,0.58582875,0.516239125,0.4466495,0.377059875,0.30747025,0.237880625,0.168291,0.147254625,0.12621825,0.105181875,0.0841455,0.063109125,0.04207275,0.021036375,0,0
